"","municipio","uf","lat","long"
"1","Acrelândia","AC",-9.8253759,-66.8864794
"2","Assis Brasil","AC",-10.9426919,-69.5745747
"3","Brasiléia","AC",-11.0060514307692,-68.7431922846154
"4","Bujari","AC",-9.8227403,-67.9475283
"5","Capixaba","AC",-10.5609474,-67.6903366
"6","Cruzeiro do Sul","AC",-7.66802121363636,-72.6450766272727
"7","Epitaciolândia","AC",-11.0166536,-68.733681
"8","Feijó","AC",-8.16698104545454,-70.3549407636364
"9","Jordão","AC",-9.4343554,-71.8845394
"10","Manoel Urbano","AC",-8.87006793333333,-69.2792000666667
"11","Marechal Thaumaturgo","AC",-8.9413533,-72.7925412
"12","Mâncio Lima","AC",-7.62084541666667,-72.89272275
"13","Plácido de Castro","AC",-10.269034075,-67.1820916625
"14","Porto Acre","AC",-9.5763223,-67.5508055
"15","Porto Walter","AC",-8.26743723333333,-72.7477983666667
"16","Rio Branco","AC",-9.969826245,-67.81152598625
"17","Rodrigues Alves","AC",-7.73325193333333,-72.6548200666667
"18","Santa Rosa do Purus","AC",-9.43787033333333,-70.492627
"19","Sena Madureira","AC",-9.06807974615385,-68.6610898230769
"20","Senador Guiomard","AC",-10.1482224454545,-67.7328211
"21","Tarauacá","AC",-8.13803784444444,-70.7658368222222
"22","Xapuri","AC",-10.6382590285714,-68.4949899857143
