"","municipio","uf","lat","long"
"1","Anadia","AL",-9.6849871,-36.3066649
"2","Arapiraca","AL",-9.74834651282051,-36.6569145538461
"3","Atalaia","AL",-9.50351983,-36.02222719
"4","Barra de Santo Antônio","AL",-9.4161691,-35.5091373
"5","Barra de São Miguel","AL",-9.8310124,-35.9084699
"6","Batalha","AL",-9.6652621,-37.1324633
"7","Belo Monte","AL",-9.8096019,-37.2803496
"8","Belém","AL",-9.5869533,-36.4836131
"9","Boca da Mata","AL",-11.37352455,-37.5204889375
"10","Branquinha","AL",-9.2479865,-36.0174772
"11","Cacimbinhas","AL",-9.3996835,-36.9921129
"12","Cajueiro","AL",-9.39301395,-36.1525555625
"13","Campestre","AL",-8.8498109,-35.5636794666667
"14","Campo Alegre","AL",-9.7795186,-36.3503333
"15","Campo Grande","AL",-9.9595184,-36.7820639
"16","Canapi","AL",-9.1117521,-37.6034774
"17","Capela","AL",-9.41206762222222,-36.0751631555556
"18","Carneiros","AL",-9.4733306,-37.380241
"19","Chã Preta","AL",-9.2559553,-36.2978724
"20","Coité do Nóia","AL",-9.63542815,-36.5832699
"21","Colônia Leopoldina","AL",-8.91467685,-35.724032525
"22","Coqueiro Seco","AL",-9.6392133,-35.8073539
"23","Coruripe","AL",-10.0368773076923,-36.2494193846154
"24","Craíbas","AL",-9.6176742,-36.7676104
"25","Delmiro Gouveia","AL",-9.3863935,-37.9968347
"26","Dois Riachos","AL",-9.3800983,-37.1017798
"27","Estrela de Alagoas","AL",-9.3850287,-36.7586161
"28","Feira Grande","AL",-9.8974689125,-36.678211275
"29","Feliz Deserto","AL",-10.293517,-36.3122925
"30","Flexeiras","AL",-9.2726509,-35.7238669
"31","Girau do Ponciano","AL",-9.8807938,-36.8225161
"32","Ibateguara","AL",-8.9751074,-35.92905116
"33","Igaci","AL",-9.5457518,-36.6708906
"34","Igreja Nova","AL",-10.1203085,-36.6606941
"35","Inhapi","AL",-9.2173886,-37.7492426
"36","Jacaré dos Homens","AL",-9.6292188,-37.2066238
"37","Jacuípe","AL",-8.8411408,-35.4590459
"38","Japaratinga","AL",-9.0879131,-35.259205
"39","Jaramataia","AL",-9.6485021,-37.0044403
"40","Jequiá da Praia","AL",-10.0061634,-36.023401
"41","Joaquim Gomes","AL",-9.11752627142857,-35.7378598142857
"42","Jundiá","AL",-8.9286048,-35.5747504
"43","Junqueiro","AL",-9.9039603,-36.4666703
"44","Lagoa da Canoa","AL",-9.8303166,-36.7382644
"45","Limoeiro de Anadia","AL",-9.7379732,-36.5031244
