"","municipio","uf","lat","long"
"1","Alvarães","AM",-3.2213464,-64.8045086
"2","Amaturá","AM",-3.3643451,-68.1985213
"3","Anamã","AM",-3.5803495,-61.4044943
"4","Anori","AM",-3.7733502,-61.6444955
"5","Apuí","AM",-5.79512041666667,-61.43347175
"6","Atalaia do Norte","AM",-4.3723466,-70.1925286
"7","Autazes","AM",-3.5803508,-59.1314836
"8","Barcelos","AM",-0.9753386,-62.9245001
"9","Barreirinha","AM",-2.7933482,-57.0704719
"10","Benjamin Constant","AM",-4.37970108571429,-70.0283352428571
"11","Beruri","AM",-3.8983498,-61.3734943
"12","Boa Vista do Ramos","AM",-2.9715388,-57.5866686
"13","Boca do Acre","AM",-8.7406895,-67.3840816
"14","Borba","AM",-4.3883539,-59.5944863
"15","Caapiranga","AM",-3.3283486,-61.2094933
"16","Canutama","AM",-6.5343578,-64.3835084
"17","Carauari","AM",-4.87846151428572,-66.9000571142857
"18","Careiro","AM",-3.8121211,-60.3455265
"19","Careiro da Várzea","AM",-3.1921201,-59.8698401
"20","Coari","AM",-4.09572666153846,-63.1481621923077
"21","Codajás","AM",-3.8373502,-62.0574973
"22","Eirunepé","AM",-6.66221682857143,-69.8675283571428
"23","Envira","AM",-7.4333541,-70.0235309
"24","Fonte Boa","AM",-2.5143434,-66.0925133
"25","Guajará","AM",-7.576581,-72.7444492
"26","Humaitá","AM",-7.50666065,-63.027679475
"27","Ipixuna","AM",-7.0513513,-71.6955356
"28","Iranduba","AM",-3.2010506,-60.1789744
"29","Itacoatiara","AM",-3.14199705714286,-58.443378
"30","Itamarati","AM",-6.4253536,-68.2535239
"31","Itapiranga","AM",-2.7493476,-58.0224777
"32","Japurá","AM",-1.8263409,-66.599515
"33","Juruá","AM",-3.66534206666667,-66.1741201333333
"34","Jutaí","AM",-2.7473439,-66.7675169
"35","Lábrea","AM",-7.2599727,-64.7992788
"36","Manacapuru","AM",-3.29417291764706,-60.6323388352941
"37","Manaquiri","AM",-3.3846073,-60.4255047
"38","Manaus","AM",-3.0965081120603,-60.0080680060301
"39","Manicoré","AM",-5.8093582,-61.3004954
"40","Maraã","AM",-1.8563413,-65.5815111
"41","Maués","AM",-3.3835089,-57.7203339454545
"42","Nhamundá","AM",-2.2049055,-56.7189439
"43","Nova Olinda do Norte","AM",-3.8719062125,-59.08871565
"44","Novo Airão","AM",-2.6258669,-60.9435407
"45","Novo Aripuanã","AM",-5.1350764,-60.3757005
"46","Parintins","AM",-2.63440662,-56.74484412
"47","Pauini","AM",-7.7143584,-66.9765208
"48","Presidente Figueiredo","AM",-2.0338293125,-60.0256260125
"49","Rio Preto da Eva","AM",-2.69959437142857,-59.6986211
"50","Santa Isabel do Rio Negro","AM",-0.4138845,-65.0181121428571
"51","Santo Antônio do Içá","AM",-3.10337216666667,-67.9474112166667
"52","Silves","AM",-2.95860703333333,-58.3725792
"53","São Gabriel da Cachoeira","AM",-0.0778476333333333,-67.0837462777778
"54","São Paulo de Olivença","AM",-3.391001,-68.8612790833333
"55","São Sebastião do Uatumã","AM",-2.57003701666667,-57.8716500666667
"56","Tabatinga","AM",-4.23095414285714,-69.9365220428571
"57","Tapauá","AM",-5.62733801428571,-63.1831916857143
"58","Tefé","AM",-3.32329569285714,-64.7210080857143
"59","Tonantins","AM",-2.87155425,-67.80000125
"60","Uarini","AM",-2.9947588,-65.1102821666667
"61","Urucará","AM",-2.5363467,-57.7604763
"62","Urucurituba","AM",-2.86254933333333,-58.0047399166667
