"","municipio","uf","lat","long"
"1","Amapá","AP",2.0510817,-50.7944645
"2","Calçoene","AP",2.4980353,-50.9496266
"3","Cutias","AP",0.953375,-50.7770462
"4","Ferreira Gomes","AP",0.8537604,-51.1940777
"5","Itaubal","AP",0.5419366,-50.7282479
"6","Laranjal do Jari","AP",-0.830423971428571,-52.4134686428571
"7","Macapá","AP",0.0366698066666667,-51.066327552
"8","Mazagão","AP",-0.1162033,-51.2859622
"9","Oiapoque","AP",3.8314881,-51.8354444
"10","Pedra Branca do Amapari","AP",0.7694678,-51.9537462
"11","Porto Grande","AP",0.7053490125,-51.4103527625
"12","Pracuúba","AP",1.7344833,-50.83253335
"13","Santana","AP",-0.0461513125,-51.17480615625
"14","Serra do Navio","AP",0.871141075,-52.02305905
"15","Tartarugalzinho","AP",1.50599463333333,-50.91103535
"16","Vitória do Jari","AP",-1.1231025,-51.9965031428571
