"","municipio","uf","lat","long"
"1","Abaré","BA",-8.7413643,-39.1185495
"2","Abaíra","BA",-13.2432140833333,-41.6675375
"3","Acajutiba","BA",-11.6637856,-38.0196075
"4","Adustina","BA",-10.5423276,-38.1109058
"5","Aiquara","BA",-14.1218843,-39.8841953
"6","Alagoinhas","BA",-12.1358635586207,-38.4209061517241
"7","Alcobaça","BA",-17.52178335,-39.1970733375
"8","Almadina","BA",-14.7056319,-39.6348944
"9","Amargosa","BA",-13.12296675,-39.81731195
"10","Amélia Rodrigues","BA",-12.4028011,-38.7550911
"11","América Dourada","BA",-11.4353949,-41.4318178
"12","Anagé","BA",-14.5995359,-41.1336855
"13","Andaraí","BA",-11.93150896,-40.7660094
"14","Andorinha","BA",-10.3406714,-39.8352606
"15","Angical","BA",-11.9985485,-44.6861749
"16","Anguera","BA",-12.1502469,-39.2466625
"17","Antas","BA",-10.3845694,-38.3225252
"18","Antônio Cardoso","BA",-12.3914435,-39.1474051
"19","Antônio Gonçalves","BA",-10.5700593,-40.2720792
"20","Aporá","BA",-12.616667,-39.1666669571429
"21","Apuarema","BA",-13.846576,-39.7308407
"22","Aracatu","BA",-14.4281164,-41.4615906
"23","Araci","BA",-11.3346864,-38.9550212
"24","Aramari","BA",-12.0762055,-38.4967677
"25","Arataca","BA",-15.2592223,-39.4122896
"26","Aratuípe","BA",-13.0748947,-38.9913239
"27","Araças","BA",-12.2202277,-38.2058436
"28","Aurelino Leal","BA",-14.3607873,-39.4085521
"29","Baianópolis","BA",-12.3046368714286,-44.5359514428571
"30","Baixa Grande","BA",-11.9550136,-40.1662152
"31","Banzaê","BA",-10.5765862,-38.6067536
"32","Barra","BA",-11.1712826142857,-42.79581315
"33","Barra da Estiva","BA",-13.6129632,-41.3232963
"34","Barra do Choça","BA",-14.1788949818182,-41.0297771545455
"35","Barra do Mendes","BA",-11.8104072,-42.0592129
"36","Barra do Rocha","BA",-14.1837601,-39.5970102
"37","Barreiras","BA",-12.1439052035714,-45.0239742785714
"38","Barro Alto","BA",-11.7669591,-41.9056078
"39","Barro Preto","BA",-14.8005944714286,-39.4737878
"40","Barrocas","BA",-11.5295304,-39.0832564
"41","Belmonte","BA",-15.8595914,-38.8902677
"42","Belo Campo","BA",-13.698473625,-41.3588668125
"43","Biritinga","BA",-11.6099593,-38.7943973
"44","Boa Nova","BA",-14.354175,-40.2129212
"45","Boa Vista do Tupim","BA",-12.662465,-40.6053825
"46","Bom Jesus da Lapa","BA",-13.2556711142857,-43.4153597642857
"47","Bom Jesus da Serra","BA",-14.3679056,-40.5145985
"48","Boninal","BA",-12.7024345,-41.8284116
"49","Bonito","BA",-11.9658961,-41.2665234
"50","Boquira","BA",-12.8135138,-42.7085351
"51","Botuporã","BA",-13.3843511,-42.5274977
"52","Brejolândia","BA",-12.470589,-43.9732886
"53","Brejões","BA",-11.3268652285714,-41.1853046571429
"54","Brotas de Macaúbas","BA",-11.9979204,-42.6250393
"55","Brumado","BA",-14.1989853647059,-41.6698698058824
"56","Buerarema","BA",-14.9471138,-39.3043613
"57","Buritirama","BA",-10.715214,-43.6391938
"58","Caatiba","BA",-14.966014,-40.4198788
"59","Cabaceiras do Paraguaçu","BA",-12.5256002,-39.1791385
"60","Cachoeira","BA",-12.5891079,-38.969086
"61","Caculé","BA",-14.5040026,-42.2203304
"62","Caetanos","BA",-14.3354678,-40.9046493
"63","Caetité","BA",-14.0658016933333,-42.4860846466667
"64","Cafarnaum","BA",-11.6891893,-41.4685535
"65","Cairu","BA",-13.50342,-39.0464499
"66","Caldeirão Grande","BA",-11.0088078,-40.3019939
"67","Camacan","BA",-15.414307,-39.5009916
"68","Camamu","BA",-13.9412574,-39.1214182
"69","Camaçari","BA",-12.694300840625,-38.315532028125
"70","Campo Alegre de Lourdes","BA",-9.5152699,-43.0085328
"71","Campo Formoso","BA",-10.5127163294118,-40.3225731588235
"72","Canarana","BA",-11.6851129,-41.7695466
"73","Canavieiras","BA",-15.6769816230769,-38.9466539153846
"74","Candeal","BA",-11.8069601,-39.111628
"75","Candeias","BA",-12.6696590785714,-38.5425765
"76","Candiba","BA",-14.4018839,-42.8622269
"77","Cansanção","BA",-10.6672848,-39.4998042285714
"78","Canudos","BA",-9.9645399,-39.1566851
"79","Canápolis","BA",-13.0701978,-44.2007272
"80","Capela do Alto Alegre","BA",-11.6653321333333,-39.8372893777778
