"","municipio","uf","lat","long"
"1","Abaiara","CE",-7.3419854,-39.0438607
"2","Acarape","CE",-4.13094091666667,-39.0843155833333
"3","Acaraú","CE",-2.8835969,-40.1195182
"4","Acopiara","CE",-6.0944789,-39.4545269
"5","Aiuaba","CE",-6.5697755,-40.1245462
"6","Alcântaras","CE",-3.5875356,-40.5445196
"7","Altaneira","CE",-6.9985696,-39.7439887
"8","Alto Santo","CE",-5.5213738,-38.2717537
"9","Amontada","CE",-3.3657783,-39.8330033
"10","Antonina do Norte","CE",-6.77308161666667,-39.9998350666667
"11","Apuiarés","CE",-3.9513145,-39.4329696
"12","Aquiraz","CE",-3.904553245,-38.383635975
"13","Aracati","CE",-4.58061086315789,-37.7546010631579
"14","Aracoiaba","CE",-4.3731367,-38.8111571
"15","Ararendá","CE",-4.7521742,-40.8272572
"16","Araripe","CE",-7.2015837,-40.031868
"17","Aratuba","CE",-4.4181379,-39.0430169
"18","Arneiroz","CE",-6.3185779,-40.1621683
"19","Assaré","CE",-6.87447306666667,-39.8741362444444
"20","Aurora","CE",-6.94270815454545,-38.9689189727273
"21","Baixio","CE",-6.783333,-40.1666669
"22","Banabuiú","CE",-5.314018,-38.9233694
"23","Barbalha","CE",-7.31489085714286,-39.3098394357143
"24","Barreira","CE",-4.2883582,-38.6413348
"25","Barro","CE",-7.1815555,-38.7867947
"26","Barroquinha","CE",-3.0191375,-41.1398507
"27","Baturité","CE",-5.55995321428571,-39.5931970571429
"28","Beberibe","CE",-4.19297641875,-38.12845749375
"29","Bela Cruz","CE",-3.04132186666667,-40.1798204222222
"30","Boa Viagem","CE",-5.12930331333333,-39.7335272933333
"31","Brejo Santo","CE",-7.49069463076923,-38.9850531769231
"32","Camocim","CE",-2.91058482307692,-40.8234077615385
"33","Campos Sales","CE",-7.0783276,-40.3762574
"34","Canindé","CE",-4.3707513375,-39.30940929375
"35","Capistrano","CE",-4.4720933,-38.9040188
"36","Caridade","CE",-4.2208955,-39.1943259
"37","Caririaçu","CE",-7.04121911,-39.28314331
"38","Cariré","CE",-3.94939301111111,-40.4740881555556
"39","Cariús","CE",-6.54125862,-39.49816625
"40","Carnaubal","CE",-4.1595082,-40.9451838
"41","Cascavel","CE",-4.13048027142857,-38.2369411928571
"42","Catarina","CE",-6.1279628,-39.8780121
"43","Catunda","CE",-4.533333,-40.2
"44","Caucaia","CE",-3.73752181025641,-38.6623283358974
"45","Cedro","CE",-6.6075196,-39.0606073
"46","Chaval","CE",-3.0448426,-41.2363844
"47","Chorozinho","CE",-4.29934058571429,-38.5010845571429
"48","Choró","CE",-8.36307116,-39.69686804
"49","Coreaú","CE",-3.57460497,-40.67193907
"50","Crateús","CE",-5.17632833043478,-40.6673543565217
"51","Crato","CE",-7.23094111153846,-39.4057081
"52","Croatá","CE",-4.4046649,-40.9123726
"53","Cruz","CE",-3.15505983333333,-40.314111
"54","Deputado Irapuan Pinheiro","CE",-5.9217359,-39.2643974
"55","Ererê","CE",-6.0324792,-38.3491136
"56","Eusébio","CE",-3.89146353076923,-38.4558582692308
"57","Farias Brito","CE",-6.9267723,-39.5736764
"58","Forquilha","CE",-4.24234475,-40.02067475
"59","Fortaleza","CE",-3.75580303096085,-38.5131368512455
"60","Fortim","CE",-4.4618868,-37.8019375
"61","Frecheirinha","CE",-3.7473735,-40.8116216
"62","General Sampaio","CE",-4.0519582,-39.4371616
"63","Granja","CE",-3.1242583,-40.8351945
"64","Granjeiro","CE",-6.8869143,-39.2214487
"65","Graça","CE",-4.0466816,-40.7496573
"66","Groaíras","CE",-3.9172019,-40.3767855
"67","Guaiúba","CE",-4.059678,-38.6466700285714
"68","Guaraciaba do Norte","CE",-4.1674444,-40.7522824
