"","municipio","uf","lat","long"
"1","Afonso Cláudio","ES",-20.0737699066667,-41.1273305666667
"2","Alegre","ES",-20.7356990125,-41.5265208875
"3","Alfredo Chaves","ES",-20.6360152714286,-40.7489704857143
"4","Alto Rio Novo","ES",-19.0535555666667,-41.0172801444444
"5","Anchieta","ES",-20.7403416384615,-40.7505735769231
"6","Apiacá","ES",-21.15120182,-41.56985534
"7","Aracruz","ES",-19.8103947071429,-40.2343339428571
"8","Atilio Vivacqua","ES",-20.91492745,-41.19397295
"9","Baixo Guandu","ES",-19.48803695,-40.9989795142857
"10","Barra de São Francisco","ES",-18.7511400666667,-40.8851160380952
"11","Boa Esperança","ES",-18.53821005,-40.2951888875
"12","Bom Jesus do Norte","ES",-21.1331667,-41.6778601
"13","Brejetuba","ES",-20.1524652,-41.2933755
"14","Cachoeiro de Itapemirim","ES",-20.8465392527273,-41.1159773527273
"15","Cariacica","ES",-20.29465914,-40.4000860822222
"16","Castelo","ES",-20.6049049,-41.2036864083333
"17","Colatina","ES",-19.5335801090909,-40.6387629886364
"18","Conceição da Barra","ES",-18.5811653428571,-39.7471894571429
"19","Conceição do Castelo","ES",-20.3619313142857,-41.2479617142857
"20","Divino de São Lourenço","ES",-20.6193524,-41.6846657
"21","Domingos Martins","ES",-20.3640867461538,-40.6874285923077
"22","Dores do Rio Preto","ES",-20.6949936857143,-41.8495292857143
"23","Ecoporanga","ES",-18.3758584,-40.8130283411765
"24","Fundão","ES",-19.9488726545455,-40.3887412818182
"25","Governador Lindenberg","ES",-19.2508858,-40.4619809
"26","Guarapari","ES",-20.6534980758621,-40.5064867862069
"27","Guaçuí","ES",-20.7765234416667,-41.6771878333333
"28","Ibatiba","ES",-20.23927505,-41.5053316666667
"29","Ibiraçu","ES",-19.8297973090909,-40.3733252454545
"30","Ibitirama","ES",-20.5380896714286,-41.6640002428571
"31","Iconha","ES",-20.7954993363636,-40.8111815363636
"32","Irupi","ES",-20.3452003,-41.6400507
"33","Itaguaçu","ES",-19.79003634,-40.85515332
"34","Itapemirim","ES",-21.0038338411765,-40.8304725882353
"35","Itarana","ES",-19.8726788,-40.8754416
"36","Iúna","ES",-20.3479677,-41.5334971923077
"37","Jaguaré","ES",-18.9059527777778,-40.0775721111111
"38","Jerônimo Monteiro","ES",-20.7927610714286,-41.3974423714286
"39","João Neiva","ES",-19.7448835125,-40.3913633375
"40","Laranja da Terra","ES",-19.8909814375,-41.0636110375
"41","Linhares","ES",-19.3823069942857,-40.06897786
"42","Mantenópolis","ES",-18.8620345,-41.1216061
"43","Marataízes","ES",-21.0380623583333,-40.8213940083333
"44","Marechal Floriano","ES",-20.4115538,-40.6760674
"45","Marilândia","ES",-19.4132794,-40.5438865
"46","Mimoso do Sul","ES",-21.06414888125,-41.3648982375
"47","Montanha","ES",-18.1340281555556,-40.3523534777778
"48","Mucurici","ES",-18.0775140555556,-40.5218998555556
"49","Muniz Freire","ES",-20.4529786666667,-41.4128860583333
"50","Muqui","ES",-20.9455761,-41.33626515
"51","Nova Venécia","ES",-18.71487495,-40.41726307
"52","Pancas","ES",-19.19209573,-40.84465269
"53","Pedro Canário","ES",-18.2988227666667,-39.961112875
"54","Pinheiros","ES",-18.4123002,-40.2145111
"55","Piúma","ES",-20.8426511714286,-40.7281695428571
"56","Ponto Belo","ES",-18.1201301,-40.541026
"57","Presidente Kennedy","ES",-21.099754975,-41.044886925
"58","Rio Bananal","ES",-19.268305825,-40.3310219
"59","Rio Novo do Sul","ES",-20.8632141666667,-40.9360411555556
"60","Santa Leopoldina","ES",-20.09913201,-40.52920722
"61","Santa Maria de Jetibá","ES",-20.0279957111111,-40.7418736222222
"62","Santa Teresa","ES",-19.9044177266667,-40.61785604
"63","Serra","ES",-20.1447185192308,-40.2889938769231
"64","Sooretama","ES",-19.193645625,-40.100495325
"65","São Domingos do Norte","ES",-19.13827975,-40.6265889833333
"66","São Gabriel da Palha","ES",-19.0176659384615,-40.5353901153846
"67","São José do Calçado","ES",-21.0272634,-41.6556581090909
"68","São Mateus","ES",-18.7143972258065,-39.8634609709677
"69","São Roque do Canaã","ES",-19.73477866,-40.64722978
"70","Vargem Alta","ES",-20.6544070875,-41.00742765
"71","Venda Nova do Imigrante","ES",-20.33019953,-41.13287105
"72","Viana","ES",-20.38373105,-40.478620685
"73","Vila Pavão","ES",-18.61504325,-40.60725625
"74","Vila Valério","ES",-18.997457975,-40.3888058
"75","Vila Velha","ES",-20.3475997645161,-40.303394566129
"76","Vitória","ES",-20.3129231565574,-40.3175500918033
"77","Água Doce do Norte","ES",-18.54793918,-40.98095844
"78","Águia Branca","ES",-18.9836234166667,-40.7394483333333
