"","municipio","uf","lat","long"
"1","Abadia de Goiás","GO",-16.7584524666667,-49.4386016333333
"2","Abadiânia","GO",-16.1982204,-48.7057198888889
"3","Acreúna","GO",-17.3942377,-50.3829165
"4","Adelândia","GO",-16.4137053,-50.1711548
"5","Alexânia","GO",-16.085854025,-48.5016662
"6","Aloândia","GO",-17.716314,-49.4842105
"7","Alto Horizonte","GO",-14.1854755,-49.3319167
"8","Alto Paraíso de Goiás","GO",-14.1223477,-47.5186975571429
"9","Alvorada do Norte","GO",-14.479746,-46.4941715
"10","Amaralina","GO",-13.9327184,-49.2911099
"11","Americano do Brasil","GO",-16.2557747666667,-49.9838539333333
"12","Amorinópolis","GO",-16.6181451,-51.08857
"13","Anhanguera","GO",-18.3329514,-48.2229817
"14","Anicuns","GO",-16.4603060111111,-49.9613514888889
"15","Anápolis","GO",-16.3206424882353,-48.9327808627451
"16","Aparecida de Goiânia","GO",-16.8085836763158,-49.2532023421053
"17","Aparecida do Rio Doce","GO",-18.2930533,-51.1535786
"18","Aporé","GO",-18.9489888,-51.9088121
"19","Aragarças","GO",-15.9018498,-52.2454345
"20","Aragoiânia","GO",-16.9138539666667,-49.4525193666667
"21","Araguapaz","GO",-15.0808258,-50.6329597
"22","Araçu","GO",-16.3563941,-49.6878985
"23","Arenópolis","GO",-16.3791061,-51.5688524
"24","Aruanã","GO",-14.9242673,-51.0770552
"25","Aurilândia","GO",-16.6792097,-50.4649253
"26","Avelinópolis","GO",-16.4564973,-49.7649723
"27","Baliza","GO",-16.1810152,-52.5428749
"28","Barro Alto","GO",-14.9559130857143,-48.9151825428571
"29","Bela Vista de Goiás","GO",-16.97300465,-48.9572850875
"30","Bom Jardim de Goiás","GO",-16.191673875,-52.17165075
"31","Bom Jesus de Goiás","GO",-18.2030293,-49.7340533
"32","Bonfinópolis","GO",-16.6203917,-48.9674535
"33","Bonópolis","GO",-13.6152661,-49.8072736
"34","Brazabrantes","GO",-16.429623,-49.3869908
"35","Britânia","GO",-15.2414834,-51.1613554
"36","Buriti Alegre","GO",-18.1476771714286,-49.0432556
"37","Buriti de Goiás","GO",-16.1623377,-50.4368399
"38","Buritinópolis","GO",-14.4748661,-46.415106
"39","Cabeceiras","GO",-15.7960853,-46.9269541
"40","Cachoeira Alta","GO",-18.7532355,-50.9349105
"41","Cachoeira Dourada","GO",-18.486216425,-49.481179525
"42","Cachoeira de Goiás","GO",-16.6425372,-50.6353652
"43","Caiapônia","GO",-16.9588986,-51.810907075
"44","Caldas Novas","GO",-17.7496365133333,-48.6226395133333
"45","Caldazinha","GO",-16.70841645,-48.9985421
"46","Campestre de Goiás","GO",-16.7380906,-49.6966075
"47","Campinaçu","GO",-13.779412,-48.574802
"48","Campinorte","GO",-14.3158484,-49.1473918
"49","Campo Alegre de Goiás","GO",-17.6366955,-47.777163
"50","Campo Limpo de Goiás","GO",-16.2960731,-49.0944806
"51","Campos Belos","GO",-13.0312709555556,-46.7292763444444
"52","Campos Verdes","GO",-14.2586802,-49.6566929
"53","Carmo do Rio Verde","GO",-15.3571699,-49.6994014
"54","Castelândia","GO",-18.0780767,-50.19647
"55","Catalão","GO",-18.1630235428571,-47.9466398071429
"56","Caturaí","GO",-16.4491338,-49.5318978
"57","Cavalcante","GO",-13.7976111,-47.4554987
"58","Caçu","GO",-18.5707213,-51.1286642
"59","Ceres","GO",-15.3119580923077,-49.6025301538462
"60","Cezarina","GO",-17.0034025,-49.7712636
"61","Chapadão do Céu","GO",-18.4217673,-52.5528727
"62","Cidade Ocidental","GO",-16.1111738,-47.9301165571429
"63","Cocalzinho de Goiás","GO",-15.7945996,-48.7761314
"64","Colinas do Sul","GO",-14.1510176,-48.0766595
"65","Corumbaíba","GO",-18.1433198,-48.5589855
"66","Corumbá de Goiás","GO",-15.9241651,-48.8087949
