"","municipio","uf","lat","long"
"1","Afonso Cunha","MA",-4.1331069,-43.3236507
"2","Alcântara","MA",-2.4031424,-44.414063325
"3","Aldeias Altas","MA",-4.62889562,-43.47142806
"4","Altamira do Maranhão","MA",-4.164975,-45.4674054
"5","Alto Alegre do Maranhão","MA",-4.2147229,-44.4496425
"6","Alto Alegre do Pindaré","MA",-3.6667568,-45.8465257
"7","Alto Parnaíba","MA",-9.1114033,-45.9304996
"8","Amapá do Maranhão","MA",-1.62541465,-45.96797055
"9","Amarante do Maranhão","MA",-5.572095275,-46.7463515625
"10","Anajatuba","MA",-3.2661158,-44.6145382
"11","Anapurus","MA",-3.671598,-43.115878
"12","Apicum-Açu","MA",-1.51917855,-45.09158175
"13","Araguanã","MA",-2.9509975,-45.6653022
"14","Araioses","MA",-2.8840543,-41.9166792
"15","Arame","MA",-4.77159625,-45.9154896666667
"16","Arari","MA",-3.460685,-44.7822424
"17","Axixá","MA",-2.8449533,-44.0608943
"18","Açailândia","MA",-4.95392304705882,-47.5013677470588
"19","Bacabal","MA",-4.22483739047619,-44.779989247619
"20","Bacabeira","MA",-2.9705551,-44.308761
"21","Bacuri","MA",-1.7038887,-45.1292712
"22","Bacurituba","MA",-2.7061602,-44.7382228
"23","Balsas","MA",-7.52915105384615,-46.0384819
"24","Barra do Corda","MA",-5.51920938333333,-45.2640548
"25","Barreirinhas","MA",-2.7535410625,-42.8237429625
"26","Barão de Grajaú","MA",-6.75771585714286,-43.0234799714286
"27","Bela Vista do Maranhão","MA",-3.7299364,-45.3068741
"28","Belágua","MA",-3.1625106,-43.5102606
"29","Benedito Leite","MA",-7.2435891,-44.5717524
"30","Bequimão","MA",-2.4494796,-44.7825631
"31","Bernardo do Mearim","MA",-4.6060761,-44.7747299
"32","Boa Vista do Gurupi","MA",-1.791266,-46.3004791
"33","Bom Jardim","MA",-3.5318971,-45.6175951
"34","Bom Jesus das Selvas","MA",-4.4217849,-46.7644681
"35","Bom Lugar","MA",-4.3721605,-45.0324676
"36","Brejo","MA",-3.68295485555556,-42.7506476333333
"37","Brejo de Areia","MA",-4.2653108,-45.50859895
"38","Buriti","MA",-3.9428339,-42.9267368
"39","Buriti Bravo","MA",-5.8356452,-43.8272952
"40","Buriticupu","MA",-4.3166444625,-46.459400625
"41","Buritirana","MA",-5.5910285,-47.0176875
"42","Cachoeira Grande","MA",-2.9261039,-44.0572943
"43","Cajapió","MA",-2.8757853,-44.6718975
"44","Cajari","MA",-3.303425,-44.8854241
"45","Campestre do Maranhão","MA",-6.1717406,-47.3631772
"46","Cantanhede","MA",-3.63670913333333,-44.3803361166667
"47","Capinzal do Norte","MA",-4.7283491,-44.3269779
"48","Carolina","MA",-7.3312324,-47.46817326
"49","Carutapera","MA",-1.2029404,-46.0166481
"50","Caxias","MA",-4.87283671034483,-43.3494888034483
"51","Cedral","MA",-1.9983287,-44.5352453
"52","Central do Maranhão","MA",-2.199979,-44.8239043
"53","Centro Novo do Maranhão","MA",-2.105959,-46.1736763
"54","Centro do Guilherme","MA",-2.3982769,-46.0116304666667
"55","Chapadinha","MA",-3.740595025,-43.3588402416667
"56","Cidelândia","MA",-5.1732226,-47.7813252
"57","Codó","MA",-4.4568099,-43.8819555722222
"58","Coelho Neto","MA",-6.11318088,-43.0483248
