"","municipio","uf","lat","long"
"1","Abadia dos Dourados","MG",-18.4865019,-47.4034059
"2","Abaeté","MG",-19.1576161571429,-45.4454482714286
"3","Abre Campo","MG",-20.2993841,-42.4756819
"4","Acaiaca","MG",-20.3619739666667,-43.1442157666667
"5","Aguanil","MG",-20.9367508,-45.3940141
"6","Aimorés","MG",-19.492328426087,-41.0630562173913
"7","Aiuruoca","MG",-21.9763017692308,-44.6037672538461
"8","Alagoa","MG",-22.1689626,-44.6389033
"9","Albertina","MG",-22.2008907,-46.6153462
"10","Alfenas","MG",-21.4203464785714,-45.9474645785714
"11","Alfredo Vasconcelos","MG",-21.1378457,-43.7644468
"12","Almenara","MG",-16.189374,-40.6937051
"13","Alpercata","MG",-18.9791232,-41.9827959
"14","Alpinópolis","MG",-20.8634605071429,-46.3888188142857
"15","Alterosa","MG",-21.2569021,-46.1419584
"16","Alto Caparaó","MG",-20.4350922,-41.8685557
"17","Alto Jequitibá","MG",-20.4288607,-41.9618285666667
"18","Alto Rio Doce","MG",-21.0267131,-43.4114039
"19","Alvarenga","MG",-19.4186118,-41.728308
"20","Alvinópolis","MG",-20.10520865,-43.0550598875
"21","Alvorada de Minas","MG",-18.7318381,-43.3646606
"22","Além Paraíba","MG",-21.8684226727273,-42.67323345
"23","Amparo do Serra","MG",-20.50758605,-42.8006484
"24","Andradas","MG",-22.07657834375,-46.572683
"25","Andrelândia","MG",-21.7372648,-44.3045255
"26","Angelândia","MG",-17.7251777,-42.2727632
"27","Antônio Carlos","MG",-21.3074954,-43.7567442
"28","Antônio Dias","MG",-19.6243072,-42.8685451
"29","Antônio Prado de Minas","MG",-21.0160032,-42.11063
"30","Aracitaba","MG",-21.3377695,-43.3787785
"31","Araguari","MG",-18.6452948878788,-48.1891626969697
"32","Arantina","MG",-21.9112076,-44.2528897
"33","Araponga","MG",-20.65236345,-42.5258414
"34","Araporã","MG",-18.4389778,-49.1865801333333
"35","Arapuá","MG",-19.0357501,-46.1538193
"36","Araxá","MG",-19.6051407296296,-46.9398968333333
"37","Araçaí","MG",-19.1995832,-44.2491692
"38","Araçuaí","MG",-16.8644974909091,-42.0655620681818
"39","Araújos","MG",-19.9471879666667,-45.1670517666667
"40","Arceburgo","MG",-21.3645954,-46.9397083
"41","Arcos","MG",-20.28916949375,-45.54397234375
"42","Areado","MG",-21.3577605,-46.1497318
"43","Argirita","MG",-21.6286251,-42.8309512
"44","Aricanduva","MG",-17.8683568,-42.5546896
"45","Arinos","MG",-15.9079864,-46.1141138
"46","Astolfo Dutra","MG",-21.3108766,-42.8618615
"47","Ataléia","MG",-18.03839468,-41.11124228
"48","Augusto de Lima","MG",-18.1087703,-44.2612766
"49","Açucena","MG",-19.0749804,-42.5467833
"50","Baependi","MG",-21.9557161785714,-44.8841106214286
"51","Baldim","MG",-19.29564902,-43.95117502
"52","Bambuí","MG",-20.0141164533333,-45.9785453933333
"53","Bandeira","MG",-15.8880307,-40.5621826
"54","Bandeira do Sul","MG",-21.7307845,-46.3853060333333
"55","Barbacena","MG",-21.227172072093,-43.7697051325581
"56","Barra Longa","MG",-20.282575925,-43.041602075
"57","Barroso","MG",-21.1881963,-43.9779315
"58","Barão de Cocais","MG",-19.940195,-43.4773397733333
"59","Barão de Monte Alto","MG",-21.2426219,-42.2350596
"60","Bela Vista de Minas","MG",-19.8283186,-43.0876223
"61","Belmiro Braga","MG",-21.9491119,-43.4144755
"62","Belo Horizonte","MG",-19.9265567709052,-43.9486953931034
"63","Belo Oriente","MG",-19.2334685125,-42.4708875375
"64","Belo Vale","MG",-20.408496,-44.0212997
"65","Berilo","MG",-16.9462355,-42.4621629
"66","Berizal","MG",-15.6103831,-41.7448449
"67","Bertópolis","MG",-17.0624667,-40.5717653
"68","Betim","MG",-19.9760513545455,-44.1918740654545
"69","Bias Fortes","MG",-21.6061376,-43.7569491
"70","Bicas","MG",-21.7266239,-43.0757033
"71","Biquinhas","MG",-18.7784958,-45.5062467666667
"72","Boa Esperança","MG",-21.0937214842105,-45.5711803368421
"73","Bocaina de Minas","MG",-22.1692463,-44.3953385
"74","Bocaiúva","MG",-17.1114633727273,-43.8152047409091
"75","Bom Despacho","MG",-19.7370656894737,-45.2522182526316
"76","Bom Jardim de Minas","MG",-21.9507689,-44.1870263
"77","Bom Jesus da Penha","MG",-21.0175743,-46.5211198333333
"78","Bom Jesus do Amparo","MG",-19.7048982,-43.4750108
"79","Bom Jesus do Galho","MG",-19.8294624,-42.3166515
"80","Bom Repouso","MG",-22.4722697,-46.1462641
"81","Bom Sucesso","MG",-20.9848260285714,-44.7981501
"82","Bonfim","MG",-20.3251420733333,-44.2398624133333
"83","Bonfinópolis de Minas","MG",-16.5676210333333,-45.9860668
"84","Bonito de Minas","MG",-15.3243912,-44.7542431
"85","Borda da Mata","MG",-22.26872008125,-46.17024060625
"86","Botelhos","MG",-21.6474905266667,-46.39057708
"87","Botumirim","MG",-16.863474,-43.0044837
"88","Brasilândia de Minas","MG",-17.0110226,-46.0087834
"89","Brasília de Minas","MG",-16.2216362,-44.4324046
"90","Brasópolis","MG",-22.4726082,-45.6181723
"91","Braúnas","MG",-19.061736,-42.7166306
"92","Brumadinho","MG",-20.144154305,-44.203196215
"93","Brás Pires","MG",-20.8855119,-43.2215645666667
"94","Bueno Brandão","MG",-22.4412505384615,-46.3487246307692
"95","Buenópolis","MG",-17.8017852,-42.7116074857143
"96","Bugre","MG",-19.425816,-42.2560278
"97","Buritis","MG",-15.62684371875,-46.42486735
"98","Buritizeiro","MG",-17.3623974,-44.9597922166667
"99","Cabeceira Grande","MG",-16.028598,-47.08635688
"100","Cabo Verde","MG",-21.4707463,-46.4021389
"101","Cachoeira Dourada","MG",-18.5133259666667,-49.5040756333333
"102","Cachoeira da Prata","MG",-19.5276772,-44.4496045
"103","Cachoeira de Minas","MG",-22.35568662,-45.7822317066667
"104","Cachoeira de Pajeú","MG",-15.9678924,-41.4957257
"105","Caetanópolis","MG",-19.2983763,-44.4129206
"106","Caeté","MG",-19.8855926913043,-43.6700531173913
"107","Caiana","MG",-20.6956765333333,-41.9235841666667
"108","Cajuri","MG",-20.7864025,-42.7955196
"109","Caldas","MG",-21.921589,-46.3885642
"110","Camacho","MG",-20.6267744666667,-45.1551919333333
"111","Camanducaia","MG",-22.76836704375,-46.13340893125
"112","Cambuquira","MG",-21.8502136,-45.2974071
"113","Cambuí","MG",-22.6113665055556,-46.0582473777778
"114","Campanha","MG",-21.83216705,-45.3989203571429
"115","Campanário","MG",-18.2387333,-41.7255782
"116","Campestre","MG",-21.7115506,-46.2460685
"117","Campina Verde","MG",-19.5363296733333,-49.4897935666667
"118","Campo Azul","MG",-16.5000487666667,-44.8072852
"119","Campo Belo","MG",-20.8847748391304,-45.2781033086956
"120","Campo Florido","MG",-19.7645657,-48.5723842333333
"121","Campo do Meio","MG",-21.1076863,-45.8280712
"122","Campos Altos","MG",-19.6981024,-46.1698052642857
"123","Campos Gerais","MG",-21.2456684,-45.7601147466667
"124","Cana Verde","MG",-21.0229387,-45.1774318
"125","Canaã","MG",-20.6848545,-42.621441
"126","Candeias","MG",-20.7663143615385,-45.2776485692308
"127","Cantagalo","MG",-18.5253787,-42.6262796
"128","Canápolis","MG",-18.7249163615385,-49.1919044
"129","Caparaó","MG",-20.5245622,-41.9055423
"130","Capela Nova","MG",-20.9206791,-43.6114561
"131","Capelinha","MG",-17.693369,-42.5178299
"132","Capetinga","MG",-20.6184403,-47.058501
"133","Capim Branco","MG",-19.5496966333333,-44.126044
"134","Capinópolis","MG",-18.6925718538462,-49.5637155769231
"135","Capitão Andrade","MG",-19.0711849,-41.8636792
"136","Capitão Enéas","MG",-16.3192096,-43.71931078
"137","Capitólio","MG",-20.6140208,-46.0496289
"138","Caputira","MG",-20.1731641,-42.269057
"139","Caranaíba","MG",-20.8758046,-43.7395509
"140","Carandaí","MG",-20.94817846875,-43.80832440625
"141","Carangola","MG",-20.7344673230769,-42.0348029307692
"142","Caratinga","MG",-19.7774947307692,-42.1323021871795
"143","Caraí","MG",-17.1880887333333,-41.6981567833333
"144","Carbonita","MG",-17.5272272,-43.0157152
"145","Careaçu","MG",-22.0436333,-45.6992186
"146","Carlos Chagas","MG",-17.7040353066667,-40.7629749533333
"147","Carmo da Cachoeira","MG",-21.4255216,-45.3131439
"148","Carmo da Mata","MG",-20.5564285,-44.8671553
"149","Carmo de Minas","MG",-22.1210881,-45.1324537
"150","Carmo do Cajuru","MG",-20.1866735071429,-44.7735085928571
"151","Carmo do Paranaíba","MG",-18.9988629176471,-46.3102137294118
"152","Carmo do Rio Claro","MG",-20.97176516,-46.1230259866667
"153","Carmésia","MG",-19.0822242,-43.1359187
"154","Carmópolis de Minas","MG",-20.5448381,-44.64849121
"155","Carneirinho","MG",-19.74663414,-50.73979688
"156","Carrancas","MG",-21.4871099,-44.6423753
"157","Carvalhos","MG",-21.9982564,-44.4640005
"158","Carvalhópolis","MG",-21.7785249,-45.8417058
"159","Casa Grande","MG",-20.7925808,-43.9305421
"160","Cascalho Rico","MG",-18.5792852,-47.878556
"161","Cataguases","MG",-21.3848007125,-42.69103173125
"162","Catas Altas","MG",-20.0747292,-43.4087703333333
"163","Catas Altas da Noruega","MG",-20.6958301,-43.4926814666667
"164","Catuji","MG",-17.3007201,-41.5167116
"165","Catuti","MG",-15.3617227,-42.9612244
"166","Caxambu","MG",-21.9745531133333,-44.9293305866667
"167","Cedro do Abaeté","MG",-19.1465806,-45.7142205
"168","Central de Minas","MG",-18.7610436,-41.3067003
"169","Centralina","MG",-18.5872278,-49.1961907333333
"170","Chalé","MG",-20.04373276,-41.68950786
"171","Chapada Gaúcha","MG",-15.2986645,-45.6253341
"172","Chapada do Norte","MG",-17.2332625,-42.7009496333333
"173","Chiador","MG",-22.0046281,-43.056401
"174","Chácara","MG",-21.6724853,-43.2208773
"175","Cipotânea","MG",-20.9037367,-43.3648682
"176","Claraval","MG",-20.4016808,-47.2849224666667
"177","Claro dos Poções","MG",-17.0817227,-44.2110309
"178","Cláudio","MG",-20.6460742928571,-45.2161484071429
"179","Coimbra","MG",-20.8575218,-42.7981598
"180","Coluna","MG",-18.2325920333333,-42.8367431666667
"181","Comendador Gomes","MG",-19.7227322333333,-49.0700372333333
"182","Comercinho","MG",-16.2979026,-41.7923466
"183","Conceição da Aparecida","MG",-21.0941113,-46.2052294
"184","Conceição da Barra de Minas","MG",-21.1284269,-44.47268
"185","Conceição das Alagoas","MG",-19.92469449375,-48.38228865
"186","Conceição das Pedras","MG",-22.15943825,-45.4556142
"187","Conceição de Ipanema","MG",-19.9304793,-41.692734
"188","Conceição do Mato Dentro","MG",-19.0205090368421,-43.4457888421053
"189","Conceição do Pará","MG",-19.7615391,-44.8964323
"190","Conceição do Rio Verde","MG",-21.8806143,-45.0878407
"191","Conceição dos Ouros","MG",-22.412433,-45.7972143666667
"192","Confins","MG",-19.6293805,-43.9919562666667
"193","Congonhal","MG",-22.1510328,-46.0465144
"194","Congonhas","MG",-20.504888875,-43.85813677
"195","Congonhas do Norte","MG",-18.8109128,-43.672486
"196","Conquista","MG",-19.9323074,-47.5488754
"197","Conselheiro Lafaiete","MG",-20.6588549756757,-43.7865465783784
"198","Conselheiro Pena","MG",-19.1752683,-41.4750615
"199","Consolação","MG",-22.5523078,-45.922759
"200","Contagem","MG",-19.9168602191011,-44.0695367786517
"201","Coqueiral","MG",-21.1889317666667,-45.4430695
"202","Coração de Jesus","MG",-16.6855255,-44.3649141
"203","Cordisburgo","MG",-19.1256767,-44.3209395
"204","Cordislândia","MG",-21.7924204,-45.6998698
"205","Corinto","MG",-18.37349904,-44.45797502
"206","Coroaci","MG",-18.6193909,-42.2820033
"207","Coromandel","MG",-18.46468827,-47.18799792
"208","Coronel Fabriciano","MG",-19.5211216607143,-42.6267580892857
"209","Coronel Murta","MG",-16.6151014,-42.1858561
"210","Coronel Pacheco","MG",-21.6252304333333,-43.3036019
"211","Coronel Xavier Chaves","MG",-21.0251321,-44.2255029
"212","Couto de Magalhães de Minas","MG",-18.0736638,-43.4711648
"213","Cristais","MG",-20.8551462,-45.5040317
"214","Cristiano Otoni","MG",-20.8318093,-43.8063873
"215","Cristina","MG",-22.2109504461538,-45.2630740769231
"216","Cristália","MG",-16.7183196,-42.8659484
"217","Crisólita","MG",-17.237054,-40.9162669
"218","Crucilândia","MG",-20.3928269,-44.3376100333333
"219","Cruzeiro da Fortaleza","MG",-18.9456065,-46.6734817
"220","Cruzília","MG",-21.8404109,-44.8100075
"221","Cuparaque","MG",-18.9701321,-41.0980602
"222","Curral de Dentro","MG",-15.9369116,-41.8583314
"223","Curvelo","MG",-18.7424437774194,-44.4367831322581
"224","Cássia","MG",-20.5799728823529,-46.9238709352941
"225","Córrego Danta","MG",-19.8249418666667,-45.9081107
"226","Córrego Fundo","MG",-20.4490624,-45.5555639
"227","Córrego Novo","MG",-19.8315802,-42.4023211
"228","Córrego do Bom Jesus","MG",-22.6304067,-46.0195385666667
"229","Cônego Marinho","MG",-15.2961007,-44.4142816
"230","Datas","MG",-18.4476251,-43.65822
"231","Delfim Moreira","MG",-22.5088672,-45.280883
"232","Delfinópolis","MG",-20.40238005,-46.7749613
"233","Delta","MG",-19.98147,-47.7832892
"234","Descoberto","MG",-21.463831,-42.9613707
"235","Desterro de Entre Rios","MG",-20.6595653,-44.3329387
"236","Desterro do Melo","MG",-21.1474713,-43.518648
"237","Diamantina","MG",-18.1959883638889,-43.5925556916667
"238","Diogo de Vasconcelos","MG",-20.4858473,-43.1992538
"239","Dionísio","MG",-19.8424484,-42.777139
"240","Divino","MG",-20.6155356333333,-42.1477535
"241","Divino das Laranjeiras","MG",-18.7772564,-41.4791826
"242","Divinolândia de Minas","MG",-18.803417,-42.6147762
"243","Divinésia","MG",-20.9900689,-43.0032867
"244","Divinópolis","MG",-20.141721642623,-44.8874961147541
"245","Divisa Alegre","MG",-15.7234434,-41.3434691
"246","Divisa Nova","MG",-21.5099954333333,-46.1988736
"247","Divisópolis","MG",-15.7262861,-41.0002836
"248","Dom Bosco","MG",-16.6554195,-46.2734425
"249","Dom Cavati","MG",-19.37548805,-42.10749235
"250","Dom Joaquim","MG",-18.9672194,-43.2547063
"251","Dom Silvério","MG",-20.1623534,-42.9621122
"252","Dom Viçoso","MG",-22.2517076,-45.1598833
"253","Dona Eusébia","MG",-21.3127548,-42.8116232
"254","Dores de Campos","MG",-21.119113,-44.0179036
"255","Dores de Guanhães","MG",-19.0573185,-42.9303292
"256","Dores do Indaiá","MG",-19.4589572,-45.5987125
"257","Dores do Turvo","MG",-20.9735904,-43.1901201
"258","Doresópolis","MG",-20.2868742333333,-46.5695845
"259","Douradoquara","MG",-18.4310932,-47.6080518
"260","Durandé","MG",-20.2034616333333,-41.7974618
"261","Elói Mendes","MG",-21.6100036928571,-45.567666
"262","Engenheiro Caldas","MG",-19.2007501,-42.0464809
"263","Engenheiro Navarro","MG",-17.2806671,-43.9510485
"264","Entre Folhas","MG",-19.6188394666667,-42.2330858
"265","Entre Rios de Minas","MG",-20.6712037428571,-44.0655945285714
"266","Ervália","MG",-20.8374051,-42.6565527
"267","Esmeraldas","MG",-19.7568883368421,-44.2926735631579
"268","Espera Feliz","MG",-20.64393818125,-41.90543656875
"269","Espinosa","MG",-14.907274175,-42.81109771875
"270","Espírito Santo do Dourado","MG",-22.0458651666667,-45.9514738
"271","Estiva","MG",-22.4640461,-46.0181722
"272","Estrela Dalva","MG",-21.7453505,-42.4581207
"273","Estrela do Indaiá","MG",-19.522135,-45.787931
"274","Estrela do Sul","MG",-18.7464083,-47.6927442
"275","Eugenópolis","MG",-21.0990475875,-42.1846693
"276","Ewbank da Câmara","MG",-21.548803,-43.5076401
"277","Extrema","MG",-22.8534029066667,-46.3193813866667
"278","Fama","MG",-21.4098284333333,-45.8346498
"279","Faria Lemos","MG",-20.8071487333333,-42.0116719
"280","Felisburgo","MG",-16.64367745,-40.763231025
"281","Felixlândia","MG",-18.7348687,-44.8798426
"282","Felício dos Santos","MG",-18.0756653,-43.2477572
"283","Fernandes Tourinho","MG",-19.1536188,-42.080258
"284","Ferros","MG",-19.2283201,-43.0191302
"285","Fervedouro","MG",-20.7268491666667,-42.2798226
"286","Florestal","MG",-19.8872834,-44.4315928666667
"287","Formiga","MG",-20.4669205222222,-45.4332807851852
"288","Formoso","MG",-14.9505647,-46.2350357
"289","Fortaleza de Minas","MG",-20.8509871,-46.7110222
"290","Fortuna de Minas","MG",-19.5589543,-44.4468785
"291","Francisco Badaró","MG",-16.992307,-42.3509192
"292","Francisco Dumont","MG",-17.3003209666667,-44.2374862333333
"293","Francisco Sá","MG",-16.4688702,-43.4851524
"294","Franciscópolis","MG",-17.9590208,-42.0077282
"295","Frei Gaspar","MG",-18.064891,-41.4287926
"296","Frei Inocêncio","MG",-18.5625194,-41.9067303
"297","Frei Lagonegro","MG",-18.1659901,-42.7693591666667
"298","Fronteira","MG",-20.284607675,-49.1987806
"299","Fronteira dos Vales","MG",-16.8930502,-40.9250313
"300","Fruta de Leite","MG",-16.1194679666667,-42.5327354
"301","Frutal","MG",-20.0243478391304,-48.937330926087
"302","Funilândia","MG",-19.3618915333333,-44.0640174
"303","Galiléia","MG",-19.0005653714286,-41.53841145
"304","Gameleiras","MG",-15.0816695,-43.120734
"305","Glaucilândia","MG",-16.8514946,-43.6937467
"306","Goiabeira","MG",-18.9803549,-41.2240491
"307","Goianá","MG",-21.5382166666667,-43.1993788
"308","Gonzaga","MG",-18.8231964,-42.4792592
"309","Gonçalves","MG",-22.6587312,-45.8560457
"310","Gouveia","MG",-18.452752,-43.7407526
"311","Governador Valadares","MG",-18.852165,-41.9483137065789
"312","Grupiara","MG",-18.4974922,-47.7230098
"313","Grão Mogol","MG",-16.5641528,-42.8948033
"314","Guanhães","MG",-18.7724107263158,-42.9346455526316
"315","Guapé","MG",-20.7602757,-45.9186684
