"","municipio","uf","lat","long"
"1","Alcinópolis","MS",-18.3181311,-53.7026283
"2","Amambaí","MS",-23.0913102846154,-55.2203230769231
"3","Anastácio","MS",-20.48434022,-55.80057892
"4","Anaurilândia","MS",-22.1693309,-52.7270122
"5","Angélica","MS",-22.1546481,-53.7735327111111
"6","Antônio João","MS",-22.1765532,-55.9400075
"7","Aparecida do Taboado","MS",-20.0889758,-51.1029764
"8","Aquidauana","MS",-20.4685764052632,-55.7735684421053
"9","Aral Moreira","MS",-22.9285241,-55.6260444
"10","Bandeirantes","MS",-19.91915443,-54.3671915
"11","Bataguassu","MS",-21.8776571230769,-53.1589547538462
"12","Batayporã","MS",-22.2897206,-53.2802591
"13","Bela Vista","MS",-22.1064560363636,-56.5326825818182
"14","Bodoquena","MS",-20.5189845,-56.7217022
"15","Bonito","MS",-21.1281838090909,-56.4885852545454
"16","Brasilândia","MS",-21.25364514,-52.03736102
"17","Caarapó","MS",-22.6232575461538,-54.8201121307692
"18","Camapuã","MS",-19.5247709181818,-54.0441152636364
"19","Campo Grande","MS",-20.4600566,-54.6115045326087
"20","Caracol","MS",-22.012627375,-57.057401675
"21","Cassilândia","MS",-19.1190668,-51.7376946
"22","Chapadão do Sul","MS",-18.7944714583333,-52.62010425
"23","Corguinho","MS",-19.8325399,-54.8293093
"24","Coronel Sapucaia","MS",-23.2528063,-55.517965
"25","Corumbá","MS",-19.0299287935484,-57.6451674677419
"26","Costa Rica","MS",-19.4288138818182,-53.4003896
"27","Coxim","MS",-18.5035668705882,-54.7514359529412
"28","Deodápolis","MS",-22.2776209,-54.1659294
"29","Dois Irmãos do Buriti","MS",-20.6801001,-55.2851076
"30","Douradina","MS",-22.0368299,-54.6116872
"31","Dourados","MS",-22.2282829409091,-54.8082694363636
"32","Eldorado","MS",-23.7879816,-54.2828556
"33","Figueirão","MS",-18.68185,-53.642738
"34","Fátima do Sul","MS",-22.37469246,-54.51438108
"35","Glória de Dourados","MS",-22.4164911,-54.2376863
"36","Guia Lopes da Laguna","MS",-21.4488308,-56.1045049
"37","Iguatemi","MS",-23.6759848545455,-54.5594712
"38","Inocência","MS",-19.73012469,-51.92932212
"39","Itaporã","MS",-22.0807516222222,-54.7873343222222
"40","Itaquiraí","MS",-23.4755151,-54.1892869
"41","Ivinhema","MS",-22.3133657923077,-53.8207195
"42","Japorã","MS",-23.8424202,-54.4314707
"43","Jaraguari","MS",-20.1349349,-54.44485
"44","Jardim","MS",-21.4796642857143,-56.1465554928571
"45","Jateí","MS",-22.5462777,-54.1542643
"46","Juti","MS",-22.8584918,-54.605138925
"47","Ladário","MS",-19.008450675,-57.60507425
"48","Laguna Carapã","MS",-22.5464146,-55.1507242
"49","Maracaju","MS",-21.6193411307692,-55.1656478923077
"50","Miranda","MS",-20.2409639230769,-56.3716584307692
"51","Mundo Novo","MS",-23.9400240923077,-54.2752464769231
"52","Naviraí","MS",-23.06360031,-54.195192335
"53","Nioaque","MS",-21.1270318,-55.8320992
"54","Nova Alvorada do Sul","MS",-21.46175369,-54.38232545
"55","Nova Andradina","MS",-22.2377175833333,-53.3346004388889
"56","Novo Horizonte do Sul","MS",-22.614049,-53.8062034
"57","Paranaíba","MS",-19.674153,-51.1954611111111
"58","Paranhos","MS",-23.8754371,-55.4265068
"59","Pedro Gomes","MS",-18.0906732,-54.5505726
"60","Ponta Porã","MS",-22.5316001461538,-55.7233227730769
"61","Porto Murtinho","MS",-21.6967826,-57.8855532090909
"62","Ribas do Rio Pardo","MS",-20.4446950909091,-53.7571999727273
"63","Rio Brilhante","MS",-21.7978968428571,-54.5476154071428
"64","Rio Negro","MS",-19.4484799909091,-54.9890901454545
"65","Rio Verde de Mato Grosso","MS",-18.9208141,-54.8436817363636
"66","Rochedo","MS",-19.9514458,-54.8819417666667
"67","Santa Rita do Pardo","MS",-21.3032301333333,-52.8327920333333
"68","Selvíria","MS",-20.3633564,-51.4211048
"69","Sete Quedas","MS",-23.9617574,-55.0381938
"70","Sidrolândia","MS",-20.9313782571429,-54.9670382785714
"71","Sonora","MS",-17.5695644272727,-54.7420441454545
"72","São Gabriel do Oeste","MS",-19.3862946384615,-54.5803726384615
"73","Tacuru","MS",-23.6270772,-55.018979875
"74","Taquarussu","MS",-22.488980125,-53.3520174
"75","Terenos","MS",-20.4390445125,-54.85884375
"76","Três Lagoas","MS",-20.7822598064516,-51.7144735290323
"77","Vicentina","MS",-22.4090653,-54.4355805333333
"78","Água Clara","MS",-20.4323725272727,-52.8700536
