"","municipio","uf","lat","long"
"1","Acorizal","MT",-15.19716585,-56.3657551
"2","Alta Floresta","MT",-9.87849800625,-56.08666195625
"3","Alto Araguaia","MT",-17.3140678,-53.2153357
"4","Alto Boa Vista","MT",-11.6681217,-51.389044
"5","Alto Garças","MT",-16.9403058,-53.5204706
"6","Alto Paraguai","MT",-14.5034598,-56.4831717
"7","Alto Taquari","MT",-17.8251344,-53.2798384
"8","Apiacás","MT",-9.5444379,-57.4510629
"9","Araguaiana","MT",-15.729828,-51.8238515
"10","Araguainha","MT",-16.8564766,-53.0297285
"11","Araputanga","MT",-15.4676289,-58.3560477
"12","Arenápolis","MT",-14.4505868,-56.8358224
"13","Aripuanã","MT",-10.1733163,-59.4565119
"14","Barra do Bugres","MT",-15.0735753428571,-57.1751341785714
"15","Barra do Garças","MT",-15.8927163913043,-52.259996673913
"16","Barão de Melgaço","MT",-16.1820736,-55.9605057
"17","Bom Jesus do Araguaia","MT",-12.16342755,-51.59774315
"18","Brasnorte","MT",-12.1538377,-57.9849899
"19","Campinápolis","MT",-14.50757,-52.8894453
"20","Campo Novo do Parecis","MT",-13.6756891,-57.8872173
"21","Campo Verde","MT",-15.5455462,-55.1662687
"22","Campos de Júlio","MT",-13.9496593,-59.2408978
"23","Canabrava do Norte","MT",-11.0392353,-51.8314977
"24","Canarana","MT",-13.54920625,-52.21735
"25","Carlinda","MT",-9.9638728,-55.83181
"26","Castanheira","MT",-11.0717268,-58.6256699333333
"27","Chapada dos Guimarães","MT",-15.4528486,-55.7391707
"28","Cláudia","MT",-11.4941004,-54.8859841
"29","Cocalinho","MT",-14.3773042,-50.9893465
"30","Colniza","MT",-9.37634805714286,-59.2179547
"31","Colíder","MT",-10.8125234384615,-55.4556537769231
"32","Comodoro","MT",-13.6640833,-59.7921209
"33","Confresa","MT",-10.6444678,-51.5678936
"34","Conquista D'Oeste","MT",-14.5432335,-59.5417756
"35","Cotriguaçu","MT",-9.8584637,-58.4124883
"36","Cuiabá","MT",-15.5901426617886,-56.0811058813008
"37","Curvelândia","MT",-15.5980813,-57.9079977
"38","Cáceres","MT",-16.0676122730769,-57.6685010192308
"39","Denise","MT",-14.7382454,-57.0501992
"40","Diamantino","MT",-14.4016985263158,-56.4255945684211
"41","Dom Aquino","MT",-15.8099966,-54.9191399
"42","Feliz Natal","MT",-12.3768219,-54.9186718
"43","Figueirópolis D'Oeste","MT",-15.4283609,-58.7332226
"44","Gaúcha do Norte","MT",-13.2474376,-53.0873129
"45","General Carneiro","MT",-15.710035,-52.7536731
"46","Glória D'Oeste","MT",-15.7706758,-58.3310303
"47","Guarantã do Norte","MT",-9.7859644,-54.9079736
"48","Guiratinga","MT",-16.3374241,-53.7647545
"49","Indiavaí","MT",-15.4914634,-58.5713229
"50","Ipiranga do Norte","MT",-14.4853897,-56.1783398333333
"51","Itanhangá","MT",-12.1805382,-56.6169558
"52","Itaúba","MT",-11.0618081,-55.2773216
"53","Itiquira","MT",-17.2132392,-54.14989
"54","Jaciara","MT",-15.9614626571429,-54.9686391857143
"55","Jangada","MT",-15.2413293,-56.4864123
"56","Jauru","MT",-15.3392493,-58.862389
"57","Juara","MT",-11.2489075214286,-57.4977364142857
"58","Juruena","MT",-11.1612156666667,-58.5487515333333
"59","Juscimeira","MT",-16.0520405,-54.8854743
"60","Juína","MT",-11.3810827,-58.7390253
"61","Lambari D'Oeste","MT",-15.3153482,-57.9907545
"62","Lucas do Rio Verde","MT",-13.0643617,-55.9200308733333
"63","Luciára","MT",-11.2218558,-50.67148
"64","Marcelândia","MT",-11.1197524,-54.6019309
"65","Matupá","MT",-10.0582095,-54.90725
"66","Mirassol d'Oeste","MT",-15.6691771,-58.0853228
"67","Nobres","MT",-14.7204308,-56.3291063
"68","Nortelândia","MT",-14.4401489,-56.8005312
"69","Nossa Senhora do Livramento","MT",-15.7690923,-56.3516648
"70","Nova Bandeirantes","MT",-9.9554489,-57.8664136
"71","Nova Brasilândia","MT",-14.9587775,-54.9665273
"72","Nova Canaã do Norte","MT",-10.4905257857143,-55.7241145285714
"73","Nova Guarita","MT",-10.3084108,-55.4046131
"74","Nova Lacerda","MT",-14.4674591,-59.5926467
"75","Nova Marilândia","MT",-14.3648743,-56.9633469
"76","Nova Maringá","MT",-13.0172104,-57.0687527
"77","Nova Monte Verde","MT",-9.9732174,-57.535273
"78","Nova Mutum","MT",-13.83311455,-56.082684575
"79","Nova Nazaré","MT",-13.9854191,-51.7735365
"80","Nova Olímpia","MT",-14.788481475,-57.2872183
"81","Nova Santa Helena","MT",-10.82474265,-54.26780035
"82","Nova Ubiratã","MT",-13.0146277,-55.2637549
"83","Nova Xavantina","MT",-14.66925693,-52.34631996
"84","Novo Horizonte do Norte","MT",-11.4105331,-57.3591773
"85","Novo Mundo","MT",-9.9641417,-55.1983605
"86","Novo Santo Antônio","MT",-12.2903982,-50.9684485
"87","Novo São Joaquim","MT",-14.9071913,-53.0205999
"88","Paranatinga","MT",-14.4346444,-54.0515509
"89","Paranaíta","MT",-9.6729657,-56.480632
"90","Pedra Preta","MT",-16.6128885875,-54.461699075
"91","Peixoto de Azevedo","MT",-10.2420374,-54.99236765
"92","Planalto da Serra","MT",-14.6565948,-54.7715495
"93","Poconé","MT",-16.2570523,-56.6246495
"94","Pontal do Araguaia","MT",-15.9105658,-52.2613856
"95","Ponte Branca","MT",-16.7482127,-52.827169
"96","Pontes e Lacerda","MT",-15.2331738615385,-59.3312181384615
"97","Porto Alegre do Norte","MT",-10.8798108,-51.6375333
"98","Porto Esperidião","MT",-15.8393966,-58.5263485
"99","Porto Estrela","MT",-15.3248109,-57.2192074
"100","Porto dos Gaúchos","MT",-11.5251804,-57.4137588
"101","Poxoréo","MT",-15.8347824307692,-54.3971443
"102","Primavera do Leste","MT",-15.5592018,-54.2982582882353
"103","Querência","MT",-12.5749669125,-52.209393625
"104","Reserva do Cabaçal","MT",-15.0816021333333,-58.4455954666667
"105","Ribeirão Cascalheira","MT",-12.9270259444444,-51.8293457444444
"106","Ribeirãozinho","MT",-16.4780332,-52.6931117666667
"107","Rio Branco","MT",-15.2423803454545,-58.1180744636364
"108","Rondolândia","MT",-10.7336144,-61.32048835
"109","Rondonópolis","MT",-16.4621283066667,-54.6347760333333
"110","Rosário Oeste","MT",-14.8621529833333,-56.4473013416667
"111","Salto do Céu","MT",-15.1302613,-58.12784855
"112","Santa Carmem","MT",-11.92195895,-55.2532662
"113","Santa Cruz do Xingu","MT",-10.198523,-52.38228525
"114","Santa Rita do Trivelato","MT",-13.8122718666667,-55.2650386333333
"115","Santa Terezinha","MT",-10.4641373,-50.5134192666667
"116","Santo Afonso","MT",-14.4923034333333,-57.0085746666667
"117","Santo Antônio do Leste","MT",-14.8338248,-53.6297103
"118","Santo Antônio do Leverger","MT",-15.8465638,-56.070344925
"119","Sapezal","MT",-12.9894139666667,-58.7645473666667
"120","Serra Nova Dourada","MT",-12.0352101,-51.4922472
"121","Sinop","MT",-11.8715533766667,-55.4990663
"122","Sorriso","MT",-12.5569679125,-55.71678599375
"123","São Félix do Araguaia","MT",-11.6166515555556,-50.6735863
"124","São José do Povo","MT",-16.4624742333333,-54.2511625333333
"125","São José do Rio Claro","MT",-13.45307593,-56.69914059
"126","São José do Xingu","MT",-10.7995897,-52.7454023666667
"127","São José dos Quatro Marcos","MT",-15.61612325,-58.1837271125
"128","São Pedro da Cipa","MT",-16.0044973333333,-54.9202362
