"","municipio","uf","lat","long"
"1","Abaetetuba","PA",-1.72494616,-48.8785746166667
"2","Abel Figueiredo","PA",-4.955021,-48.393108
"3","Acará","PA",-1.96133195833333,-48.197020675
"4","Afuá","PA",-0.127221363636364,-50.3856954545454
"5","Alenquer","PA",-1.93820124545455,-54.7515774545455
"6","Almeirim","PA",-1.52734038888889,-52.5775852444444
"7","Altamira","PA",-3.20041228461538,-52.2139798807692
"8","Anajás","PA",-0.9873395,-49.9404331
"9","Ananindeua","PA",-1.36593707777778,-48.3786787638889
"10","Anapu","PA",-3.4725452,-51.1986425
"11","Augusto Corrêa","PA",-1.02343184545455,-46.6431882545454
"12","Aurora do Pará","PA",-2.1343858,-47.5556973
"13","Aveiro","PA",-3.6108529,-55.320374
"14","Bagre","PA",-1.9003458,-50.1644337
"15","Baião","PA",-2.76871277777778,-49.6662873666667
"16","Bannach","PA",-7.3483753,-50.3964384
"17","Barcarena","PA",-1.51535187777778,-48.6181978555555
"18","Belterra","PA",-2.6982896,-54.8883213
"19","Belém","PA",-1.43043109075145,-48.4898614843931
"20","Benevides","PA",-1.36205743636364,-48.2462361363636
"21","Bom Jesus do Tocantins","PA",-5.0499644,-48.6099204
"22","Bonito","PA",-1.3633662,-47.3063696
"23","Bragança","PA",-1.06383671818182,-46.7831850545455
"24","Brasil Novo","PA",-3.3376728,-52.5745085
"25","Brejo Grande do Araguaia","PA",-5.7243513,-48.426377725
"26","Breu Branco","PA",-4.009358,-49.4614302
"27","Breves","PA",-1.68106930454545,-50.4795646272727
"28","Bujaru","PA",-1.52071,-48.0435493
"29","Cachoeira do Arari","PA",-1.0044187,-48.957358
"30","Cachoeira do Piriá","PA",-1.7425157,-46.5707208
"31","Cametá","PA",-2.252653395,-49.49501892
"32","Canaã dos Carajás","PA",-6.4973713,-49.8784355
"33","Capanema","PA",-1.19421503333333,-47.1834097533333
"34","Capitão Poço","PA",-1.7464396,-47.0659101
"35","Castanhal","PA",-1.2908242,-47.9365290230769
"36","Chaves","PA",-0.1603356,-49.9884324
"37","Colares","PA",-0.9416604,-48.2730417
"38","Conceição do Araguaia","PA",-8.26186664,-49.26410839
"39","Concórdia do Pará","PA",-1.9915599,-47.9494588
"40","Cumaru do Norte","PA",-7.8245093,-50.7734542
"41","Curionópolis","PA",-6.0661643,-49.5610581
"42","Curralinho","PA",-1.8026863,-49.8028074
"43","Curuá","PA",-1.9053245,-55.1696626
"44","Curuçá","PA",-0.74027292,-47.8490429333333
"45","Dom Eliseu","PA",-4.2966107,-47.5566082
"46","Eldorado dos Carajás","PA",-6.10438125,-49.352970875
"47","Faro","PA",-2.1696793,-56.74214
"48","Floresta do Araguaia","PA",-7.58955253333333,-49.6956036666667
"49","Garrafão do Norte","PA",-1.9329767,-47.049594
"50","Goianésia do Pará","PA",-3.8434973,-49.0920198
"51","Gurupá","PA",-1.40686566666667,-51.6394166166667
"52","Igarapé-Açu","PA",-1.1282379,-47.6223473
"53","Igarapé-Miri","PA",-1.97573876666667,-48.9702573333333
"54","Inhangapi","PA",-1.348463,-47.9106395
"55","Ipixuna do Pará","PA",-2.5586384,-47.4958991
"56","Irituia","PA",-1.77153875833333,-47.4460330333333
"57","Itaituba","PA",-4.2709105,-55.9880427571429
"58","Itupiranga","PA",-5.1734646,-49.3656303
"59","Jacareacanga","PA",-6.2066039,-57.824474
"60","Jacundá","PA",-4.4501927375,-49.11627735
"61","Juruti","PA",-2.15647818333333,-56.0931677
"62","Limoeiro do Ajuru","PA",-1.8981159,-49.3906889
"63","Magalhães Barata","PA",-0.7979896,-47.6027574
"64","Marabá","PA",-5.36589241515151,-49.1189224272727
"65","Maracanã","PA",-0.785935555555555,-47.4562888
"66","Marapanim","PA",-0.7104631,-47.697684
"67","Marituba","PA",-1.35972694615385,-48.3427183384615
"68","Medicilândia","PA",-3.4486493,-52.8891714
"69","Melgaço","PA",-1.8048211,-50.716958
"70","Mocajuba","PA",-2.5920149,-49.4832097
"71","Moju","PA",-1.884701,-48.765215
"72","Monte Alegre","PA",-1.9987559125,-54.080929675
"73","Muaná","PA",-1.5283438,-49.2174277
"74","Mãe do Rio","PA",-2.0606934,-47.5535773
"75","Nova Esperança do Piriá","PA",-2.2693488,-46.9664136
"76","Nova Ipixuna","PA",-4.9229444,-49.0719463
"77","Nova Timboteua","PA",-1.2145102,-47.3917831
"78","Novo Progresso","PA",-7.14451797142857,-55.3786666571429
"79","Novo Repartimento","PA",-4.3313596,-49.7964324
"80","Oeiras do Pará","PA",-2.0023944,-49.8456277
"81","Oriximiná","PA",-1.76175238888889,-55.8628595111111
"82","Ourilândia do Norte","PA",-6.75009686,-51.08243636
"83","Ourém","PA",-1.5482043,-47.1104243
"84","Pacajá","PA",-3.83574278571429,-50.6380830428571
"85","Palestina do Pará","PA",-5.81773885,-48.352929875
"86","Paragominas","PA",-2.99766202857143,-47.3545385214286
"87","Parauapebas","PA",-6.06905906315789,-49.9023302105263
"88","Pau D'Arco","PA",-7.8334951,-50.0425567
"89","Peixe-Boi","PA",-1.2047552,-47.3151916
"90","Piçarra","PA",-6.4421019,-48.8712491
"91","Placas","PA",-3.8730728,-54.2198471
"92","Ponta de Pedras","PA",-1.390551,-48.8703435
"93","Portel","PA",-1.9380432,-50.8185905125
"94","Porto de Moz","PA",-1.7483444,-52.238446
"95","Prainha","PA",-1.79477615,-53.4759305375
"96","Primavera","PA",-0.9420186,-47.1178763
"97","Quatipuru","PA",-0.899259866666667,-47.0120379666667
"98","Redenção","PA",-8.03962795263158,-50.0219069842105
"99","Rio Maria","PA",-7.31786465,-50.03309245
"100","Rondon do Pará","PA",-4.77486555714286,-48.0683725428571
"101","Rurópolis","PA",-4.0904308,-54.9134254333333
"102","Salinópolis","PA",-0.631317275,-47.3462272625
"103","Salvaterra","PA",-0.75898365,-48.51243538
"104","Santa Bárbara do Pará","PA",-1.22444225714286,-48.2942561142857
"105","Santa Cruz do Arari","PA",-0.6637453,-49.16625542
"106","Santa Isabel do Pará","PA",-1.30343225384615,-48.1581451692308
"107","Santa Luzia do Pará","PA",-1.50128688571429,-46.9208327857143
"108","Santa Maria das Barreiras","PA",-8.84355743333333,-49.7260472666667
"109","Santa Maria do Pará","PA",-1.3507615375,-47.5753233875
"110","Santana do Araguaia","PA",-9.496237825,-50.5609187625
"111","Santarém","PA",-2.43313678723404,-54.7103569553191
"112","Santarém Novo","PA",-0.93079344,-47.3856913
"113","Santo Antônio do Tauá","PA",-1.14938135714286,-48.1372119142857
"114","Sapucaia","PA",-6.93893455,-49.6878182
"115","Senador José Porfírio","PA",-2.58189861666667,-51.9390871166667
"116","Soure","PA",-0.67372259,-48.50691377
"117","São Caetano de Odivelas","PA",-0.744914571428571,-48.0277138428571
"118","São Domingos do Araguaia","PA",-5.53756183333333,-48.73104485
"119","São Domingos do Capim","PA",-1.6776761,-47.7659837285714
"120","São Francisco do Pará","PA",-1.17074318571429,-47.7936144
"121","São Félix do Xingu","PA",-6.64201095714286,-51.9785240714286
"122","São Geraldo do Araguaia","PA",-6.39397162857143,-48.5623103714286
"123","São João da Ponta","PA",-0.852689825,-47.920675
"124","São João de Pirabas","PA",-0.78000865,-47.181206
"125","São João do Araguaia","PA",-5.3649503,-48.78925815
"126","São Miguel do Guamá","PA",-1.62657081538462,-47.4816168230769
"127","São Sebastião da Boa Vista","PA",-1.7135126375,-49.5494101125
"128","Tailândia","PA",-2.94518047777778,-48.9528066777778
"129","Terra Alta","PA",-1.03698955,-47.9047629
"130","Terra Santa","PA",-2.10372411666667,-56.4876174333333
"131","Tomé-Açu","PA",-2.41834202857143,-48.1503401142857
"132","Tracuateua","PA",-1.07906806,-46.90075088
"133","Trairão","PA",-4.5770647,-55.9380659666667
"134","Tucumã","PA",-6.74293711428571,-51.1617523285714
"135","Tucuruí","PA",-3.76484809375,-49.6751877875
"136","Ulianópolis","PA",-3.75747958333333,-47.4903856
"137","Uruará","PA",-3.7228427,-53.7361548428571
"138","Vigia","PA",-0.863,-48.1310708
"139","Viseu","PA",-1.21184847272727,-46.1524108
"140","Vitória do Xingu","PA",-2.882462,-52.0061206
"141","Xinguara","PA",-7.10065334,-49.94886948
"142","Água Azul do Norte","PA",-6.79638355,-50.47335885
"143","Óbidos","PA",-1.90880301818182,-55.5181362
