"","municipio","uf","lat","long"
"1","Aguiar","PB",-7.0930524,-38.1701339
"2","Alagoa Grande","PB",-7.07463856363636,-35.6051935090909
"3","Alagoa Nova","PB",-7.067987,-35.7611473
"4","Alagoinha","PB",-6.9532454,-35.5385115
"5","Alcantil","PB",-7.7345943,-36.0756723
"6","Algodão de Jandaíra","PB",-6.8110172,-35.9152343
"7","Alhandra","PB",-7.4393252,-34.9135729
"8","Amparo","PB",-7.5688258,-37.0564539
"9","Aparecida","PB",-6.77614183333333,-38.0587688333333
"10","Arara","PB",-6.8327644,-35.749012
"11","Araruna","PB",-6.55013118181818,-35.7464717363636
"12","Araçagi","PB",-6.8474198,-35.3819902
"13","Areia","PB",-6.96224712857143,-35.6957814928571
"14","Areia de Baraúnas","PB",-7.1086344,-36.9500026
"15","Areial","PB",-7.0609629,-35.9361707
"16","Aroeiras","PB",-7.5481044,-35.7180843
"17","Assunção","PB",-7.0767574,-36.7293829
"18","Bananeiras","PB",-6.7510509,-35.6333491
"19","Baraúna","PB",-6.6339837,-36.270339
"20","Barra de Santa Rosa","PB",-6.7216504,-36.0628104
"21","Barra de Santana","PB",-7.524589,-35.9981375
"22","Barra de São Miguel","PB",-7.7486862,-36.3194592
"23","Bayeux","PB",-7.12858760555555,-34.9227829111111
"24","Baía da Traição","PB",-6.691074,-34.9350985
"25","Belém","PB",-6.7346949,-35.5174272
"26","Belém do Brejo do Cruz","PB",-6.1873418,-37.5314554
"27","Bernardino Batista","PB",-6.4523799,-38.5513564
"28","Boa Ventura","PB",-7.4118165,-38.2092845
"29","Boa Vista","PB",-6.89999933333333,-35.5905710666667
"30","Bom Jesus","PB",-6.8297743,-38.6543094
"31","Bom Sucesso","PB",-6.4413143,-37.9282346
"32","Bonito de Santa Fé","PB",-7.3083256,-38.5052027
"33","Boqueirão","PB",-7.4802886,-36.1339395
"34","Borborema","PB",-6.8044843,-35.5959338
"35","Brejo do Cruz","PB",-6.3456999,-37.4968583
"36","Brejo dos Santos","PB",-6.3780869,-37.8247678
"37","Caaporã","PB",-7.5153578,-34.90959997
