"","municipio","uf","lat","long"
"1","Abreu e Lima","PE",-7.91054433636364,-34.9033304727273
"2","Afogados da Ingazeira","PE",-7.76872965833333,-37.4030648833333
"3","Afrânio","PE",-8.511641,-41.0099014
"4","Agrestina","PE",-8.45758088181818,-35.9457910545455
"5","Alagoinha","PE",-8.4582536,-36.7822894
"6","Aliança","PE",-7.6057871,-35.2369146
"7","Altinho","PE",-8.4895536,-36.0597189333333
"8","Amaraji","PE",-8.37820745,-35.4514224
"9","Angelim","PE",-8.8904539,-36.2891049
"10","Araripina","PE",-8.01822478666667,-38.5775446533333
"11","Araçoiaba","PE",-7.78918316666667,-35.0897122333333
"12","Arcoverde","PE",-8.42018553333333,-37.0611634533333
"13","Barra de Guabiraba","PE",-8.4781757,-35.6502246
"14","Barreiros","PE",-8.81010731,-35.19034725
"15","Belo Jardim","PE",-8.3357941,-36.4245275
"16","Belém de Maria","PE",-8.6042844,-35.8048359
"17","Belém de São Francisco","PE",-8.7586065,-38.9625594
"18","Betânia","PE",-8.2751903,-38.0375789
"19","Bezerros","PE",-8.37278299333333,-35.9265340133333
"20","Bodocó","PE",-7.7704934,-39.9281427
"21","Bom Conselho","PE",-9.1642083,-36.6833223
"22","Bom Jardim","PE",-7.7994939,-35.59163335
"23","Bonito","PE",-8.4703776,-35.7264641
"24","Brejinho","PE",-7.3884666,-37.28826555
"25","Brejo da Madre de Deus","PE",-8.12260543076923,-36.4698922923077
"26","Brejão","PE",-9.0287735,-36.5739793
"27","Buenos Aires","PE",-7.91795618,-37.17031486
"28","Buíque","PE",-8.6142263,-37.1608255
"29","Cabo de Santo Agostinho","PE",-8.279346003125,-35.027725078125
"30","Cabrobó","PE",-8.4943585,-39.3004247
"31","Cachoeirinha","PE",-8.4863473,-36.2334101
"32","Caetés","PE",-8.7760088,-36.6250305
"33","Calumbi","PE",-7.93688,-38.1422944
"34","Calçado","PE",-8.7377648,-36.3420022
"35","Camaragibe","PE",-8.02069442222222,-34.9843588611111
"36","Camocim de São Félix","PE",-8.3593228,-35.7638963
"37","Camutanga","PE",-7.4174648,-35.2599216
"38","Canhotinho","PE",-8.8772279,-36.1969702
"39","Capoeiras","PE",-8.7378586,-36.6257364
"40","Carnaubeira da Penha","PE",-8.3126739,-38.7396853
"41","Carnaíba","PE",-7.7973354,-37.7999987
"42","Carpina","PE",-7.84576774285714,-35.2528318642857
"43","Caruaru","PE",-8.27446632181818,-35.9731003254545
"44","Casinhas","PE",-7.7458987,-35.7048534
"45","Catende","PE",-8.6607379,-35.7179822
"46","Cedro","PE",-7.7210857,-39.2271344
"47","Chã Grande","PE",-8.2325502,-35.4619129
"48","Chã de Alegria","PE",-8.0015228,-35.2142767
"49","Condado","PE",-7.5927901,-35.1031605
"50","Correntes","PE",-9.1276704,-36.3242694
"51","Cortês","PE",-8.4775868,-35.5327646
"52","Cumaru","PE",-8.0009144,-35.7020186
"53","Cupira","PE",-8.6239574,-35.9508541
"54","Custódia","PE",-8.0902764,-37.6512628
"55","Dormentes","PE",-8.4391008,-40.7628695
"56","Escada","PE",-8.35835060909091,-35.2317030090909
"57","Exu","PE",-7.5138189,-39.7093079
"58","Feira Nova","PE",-7.9275822,-35.3769629
"59","Fernando de Noronha","PE",-3.8449655,-32.4094408
"60","Ferreiros","PE",-7.4461142,-35.24797698
"61","Flores","PE",-7.8573976,-37.9720951
"62","Floresta","PE",-8.60973756,-38.56562344
"63","Frei Miguelinho","PE",-7.9416539,-35.9087621
"64","Gameleira","PE",-8.5758706,-35.3781225
"65","Garanhuns","PE",-8.88811658611111,-36.4909932972222
"66","Glória do Goitá","PE",-8.00836643333333,-35.3042017333333
"67","Goiana","PE",-7.56849951052632,-35.0033630052632
"68","Granito","PE",-7.71225754,-39.61822762
"69","Gravatá","PE",-8.2095416,-35.5712366866667
"70","Iati","PE",-9.0452914,-36.8449014
"71","Ibimirim","PE",-8.5413353,-37.6902255
"72","Ibirajuba","PE",-8.5822879,-36.1788578
"73","Igarassu","PE",-7.84548068571429,-34.90726095
"74","Iguaraci","PE",-7.8392349,-37.5103095
"75","Ilha de Itamaracá","PE",-7.7562904875,-34.8302351625
"76","Inajá","PE",-8.9040185,-37.8289149
"77","Ingazeira","PE",-7.6772509,-37.459378
"78","Ipojuca","PE",-8.41976509,-35.06174486
"79","Ipubi","PE",-7.6613725,-40.1436412
"80","Itacuruba","PE",-9.011064625,-38.284399325
"81","Itambé","PE",-7.41621671,-35.1168393
"82","Itapetim","PE",-7.3774591,-37.1906467
"83","Itapissuma","PE",-7.77570972857143,-34.8923550142857
"84","Itaquitinga","PE",-7.6721327,-35.0994415
"85","Itaíba","PE",-8.9483962,-37.4269499
"86","Jaboatão dos Guararapes","PE",-8.14775956307692,-34.9561406646154
"87","Jaqueira","PE",-8.7389793,-35.7931709
"88","Jataúba","PE",-7.986626575,-36.4964538
"89","Jatobá","PE",-7.7,-37.633333
"90","Joaquim Nabuco","PE",-8.6255458,-35.5276767
"91","João Alfredo","PE",-7.8581776,-35.5902146
