"","municipio","uf","lat","long"
"1","Acauã","PI",-8.2119771,-41.0741495
"2","Agricolândia","PI",-5.8002708,-42.66829
"3","Alagoinha do Piauí","PI",-7.0104267,-40.9401625
"4","Alegrete do Piauí","PI",-7.2477883,-40.8529041
"5","Alto Longá","PI",-5.2513497,-42.2091434
"6","Altos","PI",-5.0399092,-42.4612491
"7","Alvorada do Gurguéia","PI",-8.3749704,-43.8468245
"8","Amarante","PI",-6.2391654,-42.8509576
"9","Angical do Piauí","PI",-6.0859256,-42.7394917
"10","Antônio Almeida","PI",-7.2052992,-44.2145299
"11","Anísio de Abreu","PI",-9.191423,-43.0489508
"12","Aroazes","PI",-6.1154364,-41.793142
"13","Aroeiras do Itaim","PI",-6.9061111,-41.2625
"14","Arraial","PI",-6.65022306666667,-42.5334470333333
"15","Assunção do Piauí","PI",-5.8671054,-41.0486575
"16","Avelino Lopes","PI",-10.1354244,-43.9453372
"17","Baixa Grande do Ribeiro","PI",-7.850153,-45.2134924
"18","Barra D'Alcântara","PI",-6.5226638,-42.1036805
"19","Barras","PI",-4.2494812,-42.2946475
"20","Barreiras do Piauí","PI",-9.9165943,-45.4754095
"21","Barro Duro","PI",-5.816078,-42.5115529
"22","Batalha","PI",-4.0236208,-42.0801649
"23","Bela Vista do Piauí","PI",-7.982769,-41.8777572
"24","Belém do Piauí","PI",-7.371364,-40.9723751
"25","Beneditinos","PI",-5.4553749,-42.3603766
"26","Bertolínia","PI",-7.641229,-43.9499045
"27","Betânia do Piauí","PI",-8.148389,-40.7940744
"28","Boa Hora","PI",-4.4113643,-42.0863811
"29","Bocaina","PI",-6.940328,-41.3206132
"30","Bom Jesus","PI",-9.0750489,-44.3572658
"31","Bom Princípio do Piauí","PI",-3.1917805,-41.6451854
"32","Bonfim do Piauí","PI",-9.166455,-42.8742045
"33","Boqueirão do Piauí","PI",-4.4873638,-42.074381
"34","Brasileira","PI",-4.1313366,-41.7817878
"35","Brejo do Piauí","PI",-8.1995944,-42.8323832
"36","Buriti dos Lopes","PI",-3.17987191428571,-41.8699610285714
"37","Buriti dos Montes","PI",-5.3092397,-41.0976715
"38","Cabeceiras do Piauí","PI",-4.4765556,-42.3101927
"39","Cajazeiras do Piauí","PI",-6.7923032,-42.4012219
"40","Cajueiro da Praia","PI",-2.93826523333333,-41.3470797
"41","Caldeirão Grande do Piauí","PI",-7.330439,-40.6327885
"42","Campinas do Piauí","PI",-7.661419,-41.8642338
"43","Campo Alegre do Fidalgo","PI",-8.3810274,-41.8355202
"44","Campo Grande do Piauí","PI",-7.1310664,-41.0362423
"45","Campo Largo do Piauí","PI",-3.8134032,-42.6305257
"46","Campo Maior","PI",-4.82880453846154,-42.1696952538462
"47","Canavieira","PI",-7.6878155,-43.721942
"48","Canto do Buriti","PI",-8.1113737,-42.9465869
"49","Capitão Gervásio Oliveira","PI",-8.4900851,-41.8180762
"50","Capitão de Campos","PI",-4.4591997,-41.9401331
"51","Caracol","PI",-9.566667,-45.466667
"52","Caraúbas do Piauí","PI",-3.4760333,-41.8434809
"53","Caridade do Piauí","PI",-7.7249612,-40.9902275
"54","Castelo do Piauí","PI",-5.3216735,-41.5531478
"55","Caxingó","PI",-3.4203559,-41.8984983
"56","Cocal","PI",-3.4683964,-41.5604419
"57","Cocal de Telha","PI",-4.5597233,-41.9713313
"58","Cocal dos Alves","PI",-3.61875745,-41.48694955
"59","Coivaras","PI",-5.0957377,-42.2013453
"60","Colônia do Gurguéia","PI",-8.1824053,-43.7922449
"61","Colônia do Piauí","PI",-7.2258111,-42.1777106
"62","Conceição do Canindé","PI",-7.8881527,-41.58507
"63","Coronel José Dias","PI",-8.8363465,-42.4967204
"64","Corrente","PI",-10.4417785,-45.164464
"65","Cristalândia do Piauí","PI",-10.6547776,-45.1815154
"66","Cristino Castro","PI",-8.8177276,-44.2257436
"67","Curimatá","PI",-7.266667,-40.833333
"68","Currais","PI",-9.0066904,-44.4107011
"69","Curral Novo do Piauí","PI",-7.8250869,-40.8946749
"70","Curralinhos","PI",-5.6121815,-42.8379871
"71","Demerval Lobão","PI",-5.358114,-42.6755338
"72","Dirceu Arcoverde","PI",-9.3375445,-42.4303635
"73","Dom Expedito Lopes","PI",-6.9594218,-41.6422586
"74","Dom Inocêncio","PI",-9.002466,-41.9750669
"75","Domingos Mourão","PI",-4.2526597,-41.2728522
"76","Elesbão Veloso","PI",-6.2054527,-42.1329075
"77","Eliseu Martins","PI",-8.09170153333333,-43.6631276166667
"78","Esperantina","PI",-3.9035369,-42.2339079
"79","Fartura do Piauí","PI",-9.481942,-42.7913062
"80","Flores do Piauí","PI",-7.7820288,-42.9277195
"81","Floresta do Piauí","PI",-7.4729929,-41.7959891
"82","Floriano","PI",-6.770997205,-43.02324525
"83","Francinópolis","PI",-6.3994969,-42.2586136
"84","Francisco Ayres","PI",-6.6227169,-42.6932338
"85","Francisco Macedo","PI",-7.32231125,-40.77662855
"86","Francisco Santos","PI",-7.0030345,-41.138136
"87","Fronteiras","PI",-7.0909095,-40.6149522
"88","Geminiano","PI",-7.1530883,-41.3567967
"89","Gilbués","PI",-9.8251019,-45.3439044
"90","Guadalupe","PI",-6.78689141666667,-43.5652191166667
"91","Guaribas","PI",-9.3844934,-43.6819964
"92","Hugo Napoleão","PI",-5.982081,-42.5595784
"93","Ilha Grande","PI",-2.8657432,-41.8117985
"94","Inhuma","PI",-6.668399,-41.7086678
"95","Ipiranga do Piauí","PI",-11.6181140142857,-43.1314370857143
"96","Isaías Coelho","PI",-7.7378866,-41.6792805
"97","Itainópolis","PI",-7.4531611,-41.4694707
"98","Itaueira","PI",-7.6028526,-43.027739
"99","Jacobina do Piauí","PI",-7.9342933,-41.2056372
"100","Jaicós","PI",-7.3580438,-41.1332472
"101","Jardim do Mulato","PI",-6.0902217,-42.636732
"102","Jatobá do Piauí","PI",-4.7723808,-41.8120813
"103","Jerumenha","PI",-7.0857611,-43.5171
"104","Joaquim Pires","PI",-3.5074384,-42.1857114
"105","Joca Marques","PI",-3.5334584,-42.4013829
"106","José de Freitas","PI",-4.7530873,-42.5766768
"107","João Costa","PI",-8.5104736,-42.4202576
"108","Juazeiro do Piauí","PI",-5.1737635,-41.7037668
"109","Jurema","PI",-8.25656705,-41.99571665
"110","Júlio Borges","PI",-10.314528,-44.2368764
"111","Lagoa Alegre","PI",-4.4413803,-42.5951277
"112","Lagoa de São Francisco","PI",-4.3853512,-41.59924755
"113","Lagoa do Barro do Piauí","PI",-8.47493466666667,-41.5254576333333
"114","Lagoa do Piauí","PI",-5.4147064,-42.6422736
"115","Lagoa do Sítio","PI",-6.5078491,-41.5813398
"116","Lagoinha do Piauí","PI",-5.8310251,-42.6256738
"117","Landri Sales","PI",-7.2451807,-43.930396
"118","Luzilândia","PI",-3.46396437142857,-42.3689824
"119","Luís Correia","PI",-2.880507375,-41.6641378875
"120","Madeiro","PI",-3.4842311,-42.5038096
"121","Manoel Emídio","PI",-8.0082152,-43.8644463
"122","Marcolândia","PI",-7.4453117,-40.6582578
"123","Marcos Parente","PI",-7.122707,-43.8918276
"124","Massapê do Piauí","PI",-7.4619014,-41.1216652
"125","Matias Olímpio","PI",-3.7164046,-42.5564501
"126","Miguel Alves","PI",-4.1696454625,-42.8947282
"127","Miguel Leão","PI",-5.678556,-42.7386215
"128","Milton Brandão","PI",-4.6855074,-41.4369646
