"","municipio","uf","lat","long"
"1","Abatiá","PR",-23.3026576,-50.3174393666667
"2","Adrianópolis","PR",-24.6612806666667,-48.9909505666667
"3","Agudos do Sul","PR",-25.9892724,-49.3333583
"4","Almirante Tamandaré","PR",-25.3140740631579,-49.3014072736842
"5","Altamira do Paraná","PR",-24.8000024,-52.7107418
"6","Alto Paraná","PR",-23.1313219,-52.3355321
"7","Alto Paraíso","PR",-23.504856,-53.7273083
"8","Alto Piquiri","PR",-24.0190179,-53.4406324
"9","Altônia","PR",-23.8721995777778,-53.8953096888889
"10","Alvorada do Sul","PR",-22.7800232,-51.2319008
"11","Amaporã","PR",-23.0959555,-52.7841438
"12","Ampére","PR",-25.9180229857143,-53.4754912285714
"13","Anahy","PR",-24.6458860333333,-53.1339683666667
"14","Andirá","PR",-23.0477071636364,-50.2267529545455
"15","Antonina","PR",-25.4297757416667,-48.7115578416667
"16","Antônio Olinto","PR",-25.9849039,-50.1966721
"17","Apucarana","PR",-23.554899140625,-51.461637778125
"18","Arapongas","PR",-23.4216947730769,-51.4336319538462
"19","Arapoti","PR",-24.1456652444444,-49.8213843777778
"20","Arapuã","PR",-24.307974,-51.790442
"21","Araruna","PR",-23.9289947,-52.5012371
"22","Araucária","PR",-25.5846967043478,-49.4036166913043
"23","Ariranha do Ivaí","PR",-24.3848519,-51.587892
"24","Assaí","PR",-23.3756606785714,-50.84395365
"25","Assis Chateaubriand","PR",-24.4117074733333,-53.52226678
"26","Astorga","PR",-23.2341433625,-51.669699075
"27","Atalaia","PR",-23.1553439,-52.0586265
"28","Balsa Nova","PR",-25.5849304666667,-49.6310742666667
"29","Bandeirantes","PR",-23.1057965666667,-50.3659205533333
"30","Barbosa Ferraz","PR",-24.03008802,-52.01445809
"31","Barra do Jacaré","PR",-23.1065654,-50.1805261
"32","Barracão","PR",-26.2499469666667,-53.6357843
"33","Bela Vista da Caroba","PR",-25.8789598,-53.6669013
"34","Bela Vista do Paraíso","PR",-22.99267805,-51.18979144
"35","Bituruna","PR",-26.1597939666667,-51.5534750666667
"36","Boa Esperança","PR",-24.2416546,-52.7888311
"37","Boa Esperança do Iguaçu","PR",-25.6349768,-53.2143884
"38","Boa Ventura de São Roque","PR",-24.9108771,-51.6497964
"39","Boa Vista da Aparecida","PR",-25.4359467333333,-53.4084293333333
"40","Bocaiúva do Sul","PR",-25.208666625,-49.113239625
"41","Bom Jesus do Sul","PR",-26.1933418,-53.5990632
"42","Bom Sucesso","PR",-23.7095404,-51.7654686
"43","Bom Sucesso do Sul","PR",-26.0765642,-52.8336888
"44","Borrazópolis","PR",-23.940272675,-51.581185875
"45","Braganey","PR",-24.8174260333333,-53.1173219
"46","Brasilândia do Sul","PR",-24.1982067666667,-53.5310919666667
"47","Cafeara","PR",-22.7894538,-51.7136
"48","Cafelândia","PR",-24.619126,-53.3228695666667
"49","Cafezal do Sul","PR",-23.9009824,-53.5137834
"50","Califórnia","PR",-23.6649685,-51.3637279
"51","Cambará","PR",-23.0384430777778,-50.0715657
"52","Cambira","PR",-23.5993049666667,-51.5784153
"53","Cambé","PR",-23.2797769913043,-51.270057073913
"54","Campina Grande do Sul","PR",-25.31087995,-49.0562516642857
"55","Campina da Lagoa","PR",-24.5892564,-52.8261807
