"","municipio","uf","lat","long"
"1","Angra dos Reis","RJ",-22.9995195035714,-44.3391815071429
"2","Aperibé","RJ",-21.62161204,-42.102862
"3","Araruama","RJ",-22.8686661894737,-42.3361471368421
"4","Areal","RJ",-22.2319478,-43.10173815
"5","Armação dos Búzios","RJ",-22.7565046090909,-41.8938531090909
"6","Arraial do Cabo","RJ",-22.966342575,-42.0272440625
"7","Barra Mansa","RJ",-22.5446984448276,-44.1715823448276
"8","Barra do Piraí","RJ",-22.4686804947368,-43.8257642368421
"9","Belford Roxo","RJ",-22.7479354833333,-43.3881772833333
"10","Bom Jardim","RJ",-22.1539707833333,-42.4250167083333
"11","Bom Jesus do Itabapoana","RJ",-21.1356620461538,-41.6852285153846
"12","Cabo Frio","RJ",-22.8775706214286,-42.0256650714286
"13","Cachoeiras de Macacu","RJ",-22.4816602533333,-42.6623087466667
"14","Cambuci","RJ",-21.5619576181818,-41.9043211272727
"15","Campos dos Goytacazes","RJ",-21.7573274545455,-41.3242303350649
"16","Cantagalo","RJ",-21.9822540777778,-42.3682321666667
"17","Carapebus","RJ",-22.18717215,-41.661197075
"18","Cardoso Moreira","RJ",-21.492390325,-41.618106525
"19","Carmo","RJ",-21.9249748222222,-42.6139456888889
"20","Casimiro de Abreu","RJ",-22.5005562,-42.1572674
"21","Comendador Levy Gasparian","RJ",-22.0357305,-43.2262259333333
"22","Conceição de Macabu","RJ",-22.08219555,-41.872992275
"23","Cordeiro","RJ",-22.0211212333333,-42.3686104444444
"24","Duas Barras","RJ",-22.0507979888889,-42.5231252111111
"25","Duque de Caxias","RJ",-22.7860889893939,-43.3029243015151
"26","Engenheiro Paulo de Frontin","RJ",-22.54388655,-43.66958635
"27","Guapimirim","RJ",-22.53283524,-42.98877673
"28","Iguaba Grande","RJ",-22.8409189555556,-42.2240176444444
"29","Itaboraí","RJ",-22.7467018714286,-42.8647977
"30","Itaguaí","RJ",-22.8665668045455,-43.7784008909091
"31","Italva","RJ",-21.4357834875,-41.6889932
"32","Itaocara","RJ",-21.6786963166667,-42.0806495833333
"33","Itaperuna","RJ",-21.2025715913043,-41.8933768173913
"34","Itatiaia","RJ",-22.4885789888889,-44.5585983777778
"35","Japeri","RJ",-22.6606598857143,-43.6286368285714
"36","Laje do Muriaé","RJ",-21.2071045125,-42.1223806125
"37","Macaé","RJ",-22.3654188,-41.7852349393939
"38","Macuco","RJ",-21.97761,-42.2460348
"39","Magé","RJ",-22.6411968272727,-43.0732931030303
"40","Mangaratiba","RJ",-22.95664688,-44.0401679466667
"41","Maricá","RJ",-22.9215143772727,-42.8161926863636
"42","Mendes","RJ",-22.5262990923077,-43.7296497230769
"43","Mesquita","RJ",-22.7837982142857,-43.4245069285714
"44","Miguel Pereira","RJ",-22.4551473555556,-43.4717853444444
"45","Miracema","RJ",-21.4101863916667,-42.1910948583333
"46","Natividade","RJ",-21.0436706,-41.9742971
"47","Nilópolis","RJ",-22.8087991758621,-43.4171333448276
"48","Niterói","RJ",-22.890761276087,-43.1052328032609
"49","Nova Friburgo","RJ",-22.2792766882353,-42.5339632
"50","Nova Iguaçu","RJ",-22.7491577319444,-43.4731288944444
"51","Paracambi","RJ",-22.6115191866667,-43.7079648466667
"52","Parati","RJ",-23.2210694125,-44.718102425
"53","Paraíba do Sul","RJ",-22.1658714181818,-43.2889495909091
"54","Paty do Alferes","RJ",-22.4134020125,-43.4200414875
"55","Petrópolis","RJ",-22.4741957781818,-43.1680250309091
"56","Pinheiral","RJ",-22.5194144857143,-43.9965643714286
"57","Piraí","RJ",-22.631103875,-43.9023404916667
"58","Porciúncula","RJ",-20.96206653,-42.04170879
"59","Porto Real","RJ",-22.4333956,-44.2914035
"60","Quatis","RJ",-22.3734091571429,-44.2565111142857
"61","Queimados","RJ",-22.713736,-43.5564829285714
"62","Quissamã","RJ",-22.1067155375,-41.4624070875
"63","Resende","RJ",-22.4634270535714,-44.4559126321429
"64","Rio Bonito","RJ",-22.7102823076923,-42.6254058461538
"65","Rio Claro","RJ",-22.72951289,-43.96096695
"66","Rio das Flores","RJ",-22.1731553625,-43.5910221125
"67","Rio das Ostras","RJ",-22.52374095,-41.9451028571429
"68","Rio de Janeiro","RJ",-22.8993029202512,-43.270414288697
"69","Santa Maria Madalena","RJ",-21.9588020153846,-41.9968075846154
"70","Santo Antônio de Pádua","RJ",-21.5399991846154,-42.1814509076923
"71","Sapucaia","RJ",-21.9777735928571,-42.8807982857143
"72","Saquarema","RJ",-22.92622236875,-42.49455245625
"73","Seropédica","RJ",-22.753940125,-43.6909617333333
