"","municipio","uf","lat","long"
"1","Acari","RN",-6.4599823,-36.6410138
"2","Afonso Bezerra","RN",-5.4985007,-36.5001051
"3","Alexandria","RN",-6.4042599,-38.0097852
"4","Almino Afonso","RN",-6.1445984,-37.7665002
"5","Alto do Rodrigues","RN",-5.2891541,-36.7579859
"6","Angicos","RN",-5.6716528,-36.604608
"7","Antônio Martins","RN",-6.2271448,-37.8936102
"8","Apodi","RN",-5.64834234545455,-37.7933228545455
"9","Areia Branca","RN",-4.9549177,-37.1318192888889
"10","Arês","RN",-6.1949624,-35.160198
"11","Augusto Severo","RN",-5.862639,-37.310711
"12","Açu","RN",-5.577279,-36.9084023
"13","Baraúna","RN",-5.0705761,-37.6173484
"14","Barcelona","RN",-5.9510672,-35.9206428
"15","Baía Formosa","RN",-6.37234555,-35.00903545
"16","Bento Fernandes","RN",-5.6950445,-35.8164608
"17","Bodó","RN",-5.9827031,-36.4093226
"18","Bom Jesus","RN",-5.9848236,-35.5839872
"19","Brejinho","RN",-6.1911942,-35.3578265
"20","Caicó","RN",-6.46055635,-37.0973051666667
"21","Caiçara do Norte","RN",-5.079988,-36.0685285
"22","Caiçara do Rio do Vento","RN",-5.7603268,-35.9985423
"23","Campo Redondo","RN",-6.2434471,-36.180537
"24","Canguaretama","RN",-6.3828537,-35.1248568
"25","Caraúbas","RN",-5.7959071,-37.5530664
"26","Carnaubais","RN",-5.3388314,-36.8376556
"27","Carnaúba dos Dantas","RN",-6.5488429,-36.5934214
"28","Ceará-Mirim","RN",-5.63960967142857,-35.4207776428571
"29","Cerro Corá","RN",-6.0454976,-36.3478242
"30","Coronel Ezequiel","RN",-6.383345,-36.2130004
"31","Coronel João Pessoa","RN",-6.2719428,-38.4325533
"32","Cruzeta","RN",-6.4129088,-36.7823038
"33","Currais Novos","RN",-6.262943,-36.5176957
"34","Doutor Severiano","RN",-6.0938986,-38.3734938
"35","Encanto","RN",-6.1100238,-38.3066753
"36","Equador","RN",-6.9466545,-36.7153677
"37","Espírito Santo","RN",-6.3344843,-35.3092713
"38","Extremoz","RN",-5.70566687142857,-35.3017590714286
"39","Felipe Guerra","RN",-5.5913476,-37.6856432
"40","Fernando Pedroza","RN",-5.7188762,-36.4678899
"41","Florânia","RN",-6.1234698,-36.8197149
"42","Francisco Dantas","RN",-6.0814857,-38.1198569
"43","Frutuoso Gomes","RN",-6.1566764,-37.8383308
"44","Galinhos","RN",-5.1147721,-36.2796381
"45","Goianinha","RN",-6.2689159,-35.2090314
"46","Governador Dix-Sept Rosado","RN",-5.4593548,-37.5212369
"47","Grossos","RN",-4.9803747,-37.1553528
"48","Guamaré","RN",-5.1260016,-36.3298628
"49","Ielmo Marinho","RN",-5.81531483333333,-35.5528405666667
"50","Ipanguaçu","RN",-5.4988745,-36.8528388
"51","Ipueira","RN",-6.8118413,-37.1997523
"52","Itajá","RN",-5.6355463,-36.86008025
"53","Itaú","RN",-5.8410572,-37.9942397
"54","Jandaíra","RN",-5.3570109,-36.1255351
"55","Janduís","RN",-6.0171037,-37.4089824
"56","Januário Cicco","RN",-6.1557898,-35.6012934
"57","Japi","RN",-6.4610927,-35.9400873
"58","Jardim de Angicos","RN",-5.6561261,-35.968688
"59","Jardim de Piranhas","RN",-7.82728288571429,-39.4206134571429
"60","Jardim do Seridó","RN",-6.5906171,-36.7766259
"61","Jaçanã","RN",-6.4259293,-36.2018573
"62","José da Penha","RN",-6.3182652,-38.2788992
"63","João Câmara","RN",-5.5438704,-35.8145387
"64","João Dias","RN",-6.2703612,-37.7959025
"65","Jucurutu","RN",-6.0341211,-37.0206574
"66","Jundiá","RN",-6.2766808,-35.3612516
"67","Lagoa Nova","RN",-6.0957619,-36.4689592
"68","Lagoa Salgada","RN",-6.1281257,-35.4976306
"69","Lagoa d'Anta","RN",-6.3906965,-35.5975026
"70","Lagoa de Pedras","RN",-6.1536499,-35.4317921
"71","Lagoa de Velhos","RN",-6.0071176,-35.8577854
"72","Lajes","RN",-5.6970692,-36.2412402
