"","municipio","uf","lat","long"
"1","Alta Floresta D'Oeste","RO",-11.9278563875,-62.00046785
"2","Alto Alegre dos Parecis","RO",-12.1283787,-61.8515066
"3","Alto Paraíso","RO",-9.7453092,-63.2833988
"4","Alvorada D'Oeste","RO",-11.4276117,-62.3694516
"5","Ariquemes","RO",-9.90722874761905,-63.0388568619048
"6","Buritis","RO",-10.2123697,-63.8295119
"7","Cabixi","RO",-13.4889515333333,-60.5415511333333
"8","Cacaulândia","RO",-10.3418629333333,-62.9024892666667
"9","Cacoal","RO",-11.43259802,-61.442545525
"10","Campo Novo de Rondônia","RO",-10.549576,-63.6174775
"11","Candeias do Jamari","RO",-8.7818547,-63.7023562
"12","Castanheiras","RO",-11.4279504,-61.9551727
"13","Cerejeiras","RO",-13.1891188,-60.8163618
"14","Chupinguaia","RO",-12.5501417,-60.902299
"15","Colorado do Oeste","RO",-13.12624627,-60.54368319
"16","Corumbiara","RO",-12.9644571,-60.8164744
"17","Costa Marques","RO",-12.4353684571429,-64.2320143714286
"18","Cujubim","RO",-9.363369,-62.5855042
"19","Espigão D'Oeste","RO",-11.5321593125,-61.016207825
"20","Governador Jorge Teixeira","RO",-10.6128756,-62.7347908
"21","Guajará-Mirim","RO",-10.7908367388889,-65.3320987166667
"22","Itapuã do Oeste","RO",-9.1974737,-63.1655015
"23","Jaru","RO",-10.4333663611111,-62.4741099222222
"24","Ji-Paraná","RO",-10.88049718125,-61.9433472125
"25","Machadinho D'Oeste","RO",-9.4302291,-62.0042427
"26","Ministro Andreazza","RO",-11.1984375,-61.5120653
"27","Mirante da Serra","RO",-11.0284807,-62.6772873333333
"28","Monte Negro","RO",-10.2516437,-63.2872166
"29","Nova Brasilândia D'Oeste","RO",-11.7164906,-62.3311629
"30","Nova Mamoré","RO",-10.4131389,-65.3270733
"31","Nova União","RO",-10.9079468,-62.5579605
"32","Novo Horizonte do Oeste","RO",-11.7099862,-61.9968834
"33","Ouro Preto do Oeste","RO",-10.7177630375,-62.256230175
"34","Parecis","RO",-18.1270895333333,-58.1291227
"35","Pimenta Bueno","RO",-11.6745072666667,-61.18877946
"36","Pimenteiras do Oeste","RO",-13.4788452,-61.0390475
"37","Porto Velho","RO",-8.76101021958763,-63.898786643299
"38","Presidente Médici","RO",-11.1705982888889,-61.9065690666667
"39","Primavera de Rondônia","RO",-11.82888745,-61.3176458
"40","Rio Crespo","RO",-9.7027057,-62.9010792
"41","Rolim de Moura","RO",-11.7244032529412,-61.7718707411765
"42","Santa Luzia D'Oeste","RO",-11.9092722714286,-61.7787382285714
"43","Seringueiras","RO",-11.7675596,-63.0266356
"44","São Felipe D'Oeste","RO",-11.9059907,-61.5064826666667
"45","São Francisco do Guaporé","RO",-12.0424650666667,-63.5714866666667
"46","São Miguel do Guaporé","RO",-11.692285775,-62.6975859
"47","Teixeirópolis","RO",-10.9247025333333,-62.250924
"48","Theobroma","RO",-10.2391943333333,-62.3497643666667
"49","Urupá","RO",-11.1192683666667,-62.3667902333333
"50","Vale do Anari","RO",-9.8632504,-62.17704635
"51","Vale do Paraíso","RO",-10.4292796666667,-62.1303006
"52","Vilhena","RO",-12.7375181555556,-60.1344325222222
