"","municipio","uf","lat","long"
"1","Alto Alegre","RR",2.898056,-61.491389
"2","Amajari","RR",3.6531,-61.3714642
"3","Boa Vista","RR",2.82368823636364,-60.6801541927273
"4","Bonfim","RR",3.3570164,-59.8331569
"5","Cantá","RR",2.6084644,-60.5960991
"6","Caracaraí","RR",1.8202326,-61.1323953
"7","Caroebe","RR",0.8958636,-59.6949984
"8","Iracema","RR",2.1800283,-61.039992
"9","Mucajaí","RR",2.4300585,-60.9196215
"10","Normandia","RR",3.8832751,-59.6244342
"11","Pacaraima","RR",4.42396296666667,-61.1416009444444
"12","Rorainópolis","RR",0.9448811,-60.4210588125
"13","São João da Baliza","RR",0.95039695,-59.9126323
"14","São Luiz","RR",1.04403222857143,-60.1344946428571
"15","Uiramutã","RR",4.6013946,-60.16997965
