"","municipio","uf","lat","long"
"1","Aceguá","RS",-31.8616825,-54.1669653
"2","Agudo","RS",-29.6459574,-53.2556813
"3","Ajuricaba","RS",-28.2408107,-53.7715116
"4","Alecrim","RS",-27.6580887,-54.7646791
"5","Alegrete","RS",-29.7853745705882,-55.7784676882353
"6","Alegria","RS",-27.8322138,-54.0556895
"7","Almirante Tamandaré do Sul","RS",-28.1137106,-52.9122555
"8","Alpestre","RS",-27.2504092,-53.0340343
"9","Alto Alegre","RS",-28.7747177,-52.9930942
"10","Alto Feliz","RS",-29.3806514,-51.3130579
"11","Alvorada","RS",-30.00161317,-51.076365685
"12","Amaral Ferrador","RS",-30.8745167,-52.2535981
"13","Ametista do Sul","RS",-27.360973,-53.1823227
"14","André da Rocha","RS",-28.6315087,-51.5731061
"15","Anta Gorda","RS",-28.9710138666667,-52.0087146333333
"16","Antônio Prado","RS",-28.8517263,-51.2767251
"17","Arambaré","RS",-30.9126838,-51.4982271
"18","Araricá","RS",-29.6159983,-50.9279675
"19","Aratiba","RS",-27.39451265,-52.30002285
"20","Arroio Grande","RS",-32.2368507,-53.0884583
"21","Arroio do Meio","RS",-29.4012777375,-51.9448623625
"22","Arroio do Padre","RS",-31.4416301,-52.4185693
"23","Arroio do Sal","RS",-29.5408046333333,-49.9083374666667
"24","Arroio do Tigre","RS",-29.333741875,-53.0898750875
"25","Arroio dos Ratos","RS",-30.08150145,-51.72825915
"26","Arvorezinha","RS",-28.8705094625,-52.1813768625
"27","Augusto Pestana","RS",-28.5146544,-53.9943564
"28","Bagé","RS",-31.3285010833333,-54.1026547266667
"29","Balneário Pinhal","RS",-30.2608194,-50.2387699
"30","Barra Funda","RS",-27.9246927,-53.0368424
"31","Barra do Guarita","RS",-27.1875996,-53.7166003
"32","Barra do Quaraí","RS",-30.2097439,-57.554542725
"33","Barra do Ribeiro","RS",-30.2916562625,-51.302506325
"34","Barra do Rio Azul","RS",-27.4108239,-52.413002
"35","Barracão","RS",-27.676014625,-51.45814295
"36","Barros Cassal","RS",-29.0924879,-52.5835821
"37","Barão","RS",-29.375010175,-51.498256375
"38","Barão de Cotegipe","RS",-27.6222068333333,-52.3792049
"39","Barão do Triunfo","RS",-30.3905558,-51.737376
"40","Benjamin Constant do Sul","RS",-27.5071194,-52.6023876
"41","Bento Gonçalves","RS",-29.1663616269231,-51.5098756769231
"42","Boa Vista das Missões","RS",-27.6571581,-53.318903
"43","Boa Vista do Buricá","RS",-20.0516838,-55.771054825
"44","Boa Vista do Cadeado","RS",-28.59182915,-53.8148248
"45","Boa Vista do Incra","RS",-28.8191013,-53.387477
"46","Boa Vista do Sul","RS",-29.3524859,-51.6737013
"47","Bom Jesus","RS",-28.9538953222222,-50.6454842777778
"48","Bom Princípio","RS",-29.4911904,-51.3584478
"49","Bom Progresso","RS",-27.5527019,-53.867168
"50","Bom Retiro do Sul","RS",-29.6084374,-51.9458704
"51","Boqueirão do Leão","RS",-29.3024609,-52.4320831
"52","Bossoroca","RS",-28.7319573,-54.9112252
"53","Bozano","RS",-28.3689039,-53.7722482
"54","Braga","RS",-27.6164575,-53.7422435
"55","Brochier","RS",-29.5526889,-51.5954553333333
"56","Butiá","RS",-30.1194412111111,-51.9643466
"57","Cacequi","RS",-29.8824284714286,-54.8268895714286
"58","Cachoeira do Sul","RS",-30.04584559,-52.8936749
"59","Cachoeirinha","RS",-29.9398143521739,-51.0901475217391
"60","Cacique Doble","RS",-27.76706055,-51.665208675
"61","Caibaté","RS",-28.2857655,-54.6399733
"62","Caiçara","RS",-27.2803149,-53.4266549
"63","Camaquã","RS",-30.852047925,-51.81236385625
"64","Camargo","RS",-28.5867639666667,-52.2026362333333
"65","Cambará do Sul","RS",-29.049143,-50.1470353
"66","Campestre da Serra","RS",-28.7857888,-51.0984856
"67","Campina das Missões","RS",-27.9899661,-54.8323421
"68","Campinas do Sul","RS",-26.514999575,-51.23003275
"69","Campo Bom","RS",-29.68066733,-51.0580608
"70","Campo Novo","RS",-28.2145916571429,-53.1675560571429
"71","Campos Borges","RS",-28.8864329,-53.0000828
"72","Candelária","RS",-29.6730953,-52.78693819
"73","Candiota","RS",-31.5606936666667,-53.7165995333333
"74","Canela","RS",-29.36261527,-50.81239567
"75","Canguçu","RS",-31.3986581916667,-52.6789833666667
"76","Canoas","RS",-29.9210288682927,-51.182920604878
"77","Canudos do Vale","RS",-29.3234017,-52.2344909
"78","Capela de Santana","RS",-29.6821721333333,-51.3187617666667
"79","Capitão","RS",-29.2701096,-51.987737
"80","Capivari do Sul","RS",-30.1472111,-50.5129143
"81","Capão Bonito do Sul","RS",-28.1292802,-51.3941165
"82","Capão da Canoa","RS",-29.75655438125,-50.02863975
"83","Capão do Cipó","RS",-28.9210534,-54.7014628
"84","Capão do Leão","RS",-31.763547825,-52.4670222
"85","Carazinho","RS",-28.2851389428571,-52.785942247619
"86","Caraá","RS",-29.7937477333333,-50.3898692666667
"87","Carlos Barbosa","RS",-29.2976006666667,-51.5028242111111
"88","Carlos Gomes","RS",-27.7150974,-51.9160341
"89","Casca","RS",-28.5672466625,-51.97727845
"90","Caseiros","RS",-28.2734225,-51.6881202
"91","Catuípe","RS",-28.2502964333333,-54.0129946833333
"92","Caxias do Sul","RS",-29.1680193961538,-51.1772211634615
"93","Caçapava do Sul","RS",-30.4993950636364,-53.4731366454546
"94","Centenário","RS",-27.7622222,-52.0009729
"95","Cerrito","RS",-31.8560162,-52.8137273
"96","Cerro Branco","RS",-29.666404625,-52.934176475
"97","Cerro Grande","RS",-29.1038108,-52.4579834
"98","Cerro Grande do Sul","RS",-30.5948306,-51.7518683
"99","Cerro Largo","RS",-28.14877975,-54.738014
"100","Chapada","RS",-28.0586689,-53.0659592
"101","Charqueadas","RS",-29.9558991571429,-51.6260703
"102","Charrua","RS",-27.9536385,-52.032344
"103","Chiapetta","RS",-27.9225584,-53.9431722
"104","Chuvisca","RS",-30.7575536,-51.9788336
"105","Chuí","RS",-33.65828054,-53.43735392
"106","Cidreira","RS",-30.1704199,-50.2065471333333
"107","Ciríaco","RS",-28.343847,-51.8683437
"108","Colinas","RS",-29.3884513,-51.8705138
"109","Colorado","RS",-28.52729615,-52.9909009
"110","Condor","RS",-28.2055877,-53.4836996
"111","Constantina","RS",-27.7315065,-52.9965572
"112","Coqueiro Baixo","RS",-29.177281,-52.0979102
"113","Coqueiros do Sul","RS",-28.1183111,-52.7828927
"114","Coronel Barros","RS",-28.3810848,-54.0728052
"115","Coronel Bicaco","RS",-27.7159098,-53.7041117
"116","Coronel Pilar","RS",-29.2734967,-51.687507
"117","Cotiporã","RS",-28.9946361,-51.6964467
"118","Coxilha","RS",-28.1248969,-52.2968615
"119","Crissiumal","RS",-27.4994019,-54.0992762
"120","Cristal","RS",-31.0158198,-52.0532245
"121","Cristal do Sul","RS",-27.4580659,-53.2477086
"122","Cruz Alta","RS",-28.64381232,-53.604484905
"123","Cruzaltense","RS",-27.6693056,-52.6496757
"124","Cruzeiro do Sul","RS",-29.512907175,-51.9855161
"125","Cândido Godói","RS",-27.9478484,-54.7528954
"126","David Canabarro","RS",-28.3882212,-51.8454907
"127","Derrubadas","RS",-27.2656013,-53.8613656
"128","Dezesseis de Novembro","RS",-28.2239458,-55.0478255
"129","Dilermando de Aguiar","RS",-29.7072818,-54.2034957
"130","Dois Irmãos","RS",-29.5847133111111,-51.0903466333333
"131","Dois Irmãos das Missões","RS",-27.6603983,-53.5328574
"132","Dois Lajeados","RS",-28.9847455,-51.8367596
"133","Dom Feliciano","RS",-30.7035635,-52.10987686
"134","Dom Pedrito","RS",-30.9825909714286,-54.6749991142857
"135","Dom Pedro de Alcântara","RS",-29.3960489,-49.8471849
"136","Dona Francisca","RS",-29.6249023666667,-53.3572581
"137","Doutor Maurício Cardoso","RS",-27.5113139,-54.3630999
"138","Doutor Ricardo","RS",-29.0856711,-51.9960851
"139","Eldorado do Sul","RS",-30.0432057333333,-51.4663079166667
"140","Encantado","RS",-29.2322019,-51.8834111
"141","Encruzilhada do Sul","RS",-30.5426907625,-52.521821525
"142","Engenho Velho","RS",-27.7121427,-52.9138246
"143","Entre Rios do Sul","RS",-27.535663,-52.7287266
"144","Entre-Ijuís","RS",-28.363785,-54.2682294
"145","Erebango","RS",-27.8527663,-52.3036443
"146","Erechim","RS",-27.6410608875,-52.2621160208333
"147","Ernestina","RS",-28.4998367,-52.5677421
"148","Erval Grande","RS",-27.3913252333333,-52.5714977
"149","Erval Seco","RS",-27.5511102,-53.5060177
"150","Esmeralda","RS",-28.058428825,-51.1876085
"151","Esperança do Sul","RS",-27.364483,-53.9876339
"152","Espumoso","RS",-28.72577275,-52.84504981
"153","Estação","RS",-27.9129126,-52.2614313
"154","Esteio","RS",-29.85416832,-51.1746832
"155","Estrela","RS",-29.5018391416667,-51.9643373083333
"156","Estrela Velha","RS",-29.1765489,-53.1590633
"157","Estância Velha","RS",-29.6509396555556,-51.1719554444444
"158","Eugênio de Castro","RS",-28.5277968,-54.1482454
"159","Fagundes Varela","RS",-28.8808988,-51.6982971
"160","Farroupilha","RS",-29.2288148533333,-51.3465978066667
"161","Faxinal do Soturno","RS",-29.57866205,-53.4483532
"162","Faxinalzinho","RS",-27.4236019,-52.6736367
"163","Fazenda Vilanova","RS",-29.5928119,-51.8192694
"164","Feliz","RS",-29.4513103428571,-51.3054083857143
"165","Flores da Cunha","RS",-29.0333023625,-51.1814503625
"166","Floriano Peixoto","RS",-27.8614431,-52.0859159
"167","Fontoura Xavier","RS",-28.9689945,-52.370303
"168","Formigueiro","RS",-29.9991363,-53.5011362333333
"169","Forquetinha","RS",-29.3816604,-52.0915242
"170","Fortaleza dos Valos","RS",-28.7832468,-53.2234147
"171","Frederico Westphalen","RS",-27.3570814461538,-53.3956026923077
"172","Garibaldi","RS",-29.2554971444444,-51.5302858222222
"173","Garruchos","RS",-28.1840544,-55.638609
"174","Gaurama","RS",-27.5867417714286,-52.0916174285714
"175","General Câmara","RS",-29.9102512571429,-51.7793517428571
"176","Gentil","RS",-28.4314866,-52.0374512
"177","Getúlio Vargas","RS",-27.8879354777778,-52.2274425444444
"178","Giruá","RS",-28.02836776,-54.35168123
"179","Glorinha","RS",-29.8805838333333,-50.7870454666667
"180","Gramado","RS",-29.3734048454545,-50.8770444
"181","Gramado Xavier","RS",-29.2686483,-52.5788979
"182","Gramado dos Loureiros","RS",-27.4440161,-52.9207604
"183","Gravataí","RS",-29.932221025,-51.008579275
"184","Guabiju","RS",-28.5392611,-51.6895654
"185","Guaporé","RS",-28.8850234,-51.88927567
"186","Guarani das Missões","RS",-28.1486415,-54.5565411
"187","Guaíba","RS",-30.1129076533333,-51.3265862266667
"188","Harmonia","RS",-29.5492343,-51.4242015
"189","Herval","RS",-32.028234,-53.3965272
"190","Herveiras","RS",-29.4539744,-52.6534883
"191","Horizontina","RS",-27.6301004,-54.3072221
"192","Hulha Negra","RS",-31.4060841,-53.8712148
"193","Humaitá","RS",-27.5672785,-53.9735927
"194","Ibarama","RS",-29.4201952666667,-53.1306652666667
"195","Ibiaçá","RS",-28.0589127,-51.855858275
"196","Ibiraiaras","RS",-28.3708909,-51.6380193
"197","Ibirapuitã","RS",-28.6148762,-52.5157843
"198","Ibirubá","RS",-28.6285682333333,-53.0979182777778
"199","Igrejinha","RS",-29.5705091777778,-50.7941933222222
"200","Ijuí","RS",-28.3865064352941,-53.9183158235294
"201","Ilópolis","RS",-28.9272693,-52.1264952
"202","Imbé","RS",-29.96960545,-50.1308524
"203","Imigrante","RS",-29.3544245,-51.778538
"204","Independência","RS",-27.8456423,-54.1925524
"205","Inhacorá","RS",-27.882298,-54.0146874
"206","Ipiranga do Sul","RS",-27.9357397,-52.4271176
"207","Ipê","RS",-28.8163693,-51.2669779
"208","Iraí","RS",-27.1898963,-53.2646585
"209","Itaara","RS",-29.6205487333333,-53.7677661333333
"210","Itacurubi","RS",-28.8760884,-55.16796
"211","Itapuca","RS",-28.9,-52.05
"212","Itaqui","RS",-29.1227345363636,-56.5572976
"213","Itati","RS",-29.4888841,-50.1137412
"214","Itatiba do Sul","RS",-27.3820886,-52.4553691
"215","Ivorá","RS",-29.5198389,-53.5840308
"216","Ivoti","RS",-29.6001602875,-51.164215275
"217","Jaboticaba","RS",-27.6307642,-53.2811346
"218","Jacuizinho","RS",-29.034565,-53.0546719
"219","Jacutinga","RS",-27.7306181,-52.5368602
"220","Jaguari","RS",-29.4965824888889,-54.6907498
"221","Jaguarão","RS",-32.5609390166667,-53.38231685
"222","Jaquirana","RS",-28.8839148,-50.358925
