"","municipio","uf","lat","long"
"1","Abdon Batista","SC",-27.609887,-51.0252286333333
"2","Abelardo Luz","SC",-26.5673525333333,-52.3304154222222
"3","Agrolândia","SC",-27.4109035333333,-49.8299683333333
"4","Agronômica","SC",-27.264654,-49.7113241
"5","Alfredo Wagner","SC",-27.691050925,-49.350963475
"6","Alto Bela Vista","SC",-27.4318528333333,-51.9095291333333
"7","Anchieta","SC",-26.5342374375,-53.3326213125
"8","Angelina","SC",-27.5658729333333,-48.9837146666667
"9","Anita Garibaldi","SC",-27.42908995,-51.2342172375
"10","Anitápolis","SC",-27.9026177,-49.12842295
"11","Antônio Carlos","SC",-27.5153978,-48.76616455
"12","Apiúna","SC",-27.0333168333333,-49.3870606
"13","Arabutã","SC",-27.1594242,-52.1431261
"14","Araquari","SC",-26.376192975,-48.7324877125
"15","Araranguá","SC",-28.9352545533333,-49.4766893466667
"16","Armazém","SC",-28.2624524166667,-49.0182913666667
"17","Arroio Trinta","SC",-26.9309005,-51.3357217
"18","Arvoredo","SC",-27.0754811666667,-52.4586452666667
"19","Ascurra","SC",-26.9520214,-49.3708564
"20","Atalanta","SC",-27.4200001,-49.7824549
"21","Aurora","SC",-27.3166924,-49.6350028
"22","Balneário Arroio do Silva","SC",-28.9860581,-49.4190640333333
"23","Balneário Barra do Sul","SC",-26.4558715,-48.6131071
"24","Balneário Camboriú","SC",-26.9915363730769,-48.6369303115385
"25","Balneário Gaivota","SC",-29.1549825333333,-49.5832572666667
"26","Balneário Piçarras","SC",-26.75978913,-48.67584214
"27","Bandeirante","SC",-26.766106,-53.638939
"28","Barra Bonita","SC",-26.6519564,-53.4423632
"29","Barra Velha","SC",-26.6329626,-48.68479649
"30","Bela Vista do Toldo","SC",-26.2756204666667,-50.4643537666667
"31","Belmonte","SC",-26.8442594,-53.5796599
"32","Benedito Novo","SC",-26.7803914,-49.36477665
"33","Biguaçu","SC",-27.4960926266667,-48.6549183133333
"34","Blumenau","SC",-26.9127912204082,-49.0761580612245
"35","Bocaina do Sul","SC",-27.7417515333333,-49.9427860333333
"36","Bom Jardim da Serra","SC",-28.3399684333333,-49.6247163
"37","Bom Jesus","SC",-26.7350583,-52.3908278
"38","Bom Jesus do Oeste","SC",-26.6919255666667,-53.0958177
"39","Bom Retiro","SC",-27.7996517,-49.4910901111111
"40","Bombinhas","SC",-27.146405625,-48.503586925
"41","Botuverá","SC",-27.1959558666667,-49.0783298
"42","Braço do Norte","SC",-28.2795605333333,-49.1621927583333
"43","Braço do Trombudo","SC",-27.3591833666667,-49.8840470666667
"44","Brunópolis","SC",-27.3410347,-50.9674032333333
"45","Brusque","SC",-27.0971320555556,-48.9180107333333
"46","Caibi","SC",-27.075229975,-53.25029265
"47","Calmon","SC",-26.5989385,-51.1005767
"48","Camboriú","SC",-27.0227369222222,-48.6562364666667
"49","Campo Alegre","SC",-26.1928423666667,-49.2653345
"50","Campo Belo do Sul","SC",-27.89846345,-50.7568175666667
"51","Campo Erê","SC",-26.3952322333333,-53.0902004333333
"52","Campos Novos","SC",-27.4007298846154,-51.2266854076923
"53","Canelinha","SC",-27.2661498,-48.7660041333333
"54","Canoinhas","SC",-26.1763861588235,-50.3909918529412
"55","Capinzal","SC",-27.34434276,-51.6093177
"56","Capivari de Baixo","SC",-28.4451728,-48.9582891
"57","Capão Alto","SC",-27.9368811666667,-50.5136813333333
"58","Catanduvas","SC",-27.0698374142857,-51.6634682428571
"59","Caxambu do Sul","SC",-27.1547286,-52.8829999
"60","Caçador","SC",-26.7749510764706,-51.0118652588235
"61","Celso Ramos","SC",-27.6335264,-51.3372033
"62","Cerro Negro","SC",-27.7974983,-50.8732655
"63","Chapadão do Lageado","SC",-27.5852827,-49.5470944
"64","Chapecó","SC",-27.098602195122,-52.6154219268293
"65","Cocal do Sul","SC",-28.601806325,-49.32644485
"66","Concórdia","SC",-27.2342062473684,-52.028654031579
"67","Cordilheira Alta","SC",-26.9853258666667,-52.6024893
"68","Coronel Freitas","SC",-26.9075586,-52.7029886
"69","Coronel Martins","SC",-26.5116264666667,-52.6661556
"70","Correia Pinto","SC",-27.5874846375,-50.36373
"71","Corupá","SC",-26.4260533,-49.2433273
"72","Criciúma","SC",-28.6824845075,-49.3780379375
"73","Cunha Porã","SC",-26.8894587888889,-53.1752573888889
"74","Cunhataí","SC",-26.9737744,-53.0910224
"75","Curitibanos","SC",-27.2854627066667,-50.5827427266667
"76","Descanso","SC",-26.8211940166667,-53.5070082833333
"77","Dionísio Cerqueira","SC",-26.26013977,-53.62733431
"78","Dona Emma","SC",-26.9865583333333,-49.7236325
"79","Doutor Pedrinho","SC",-26.7175163,-49.4851837
"80","Entre Rios","SC",-26.7253807,-52.5602459
"81","Ermo","SC",-28.9670754,-49.6542483666667
"82","Erval Velho","SC",-27.277090975,-51.4416565
"83","Faxinal dos Guedes","SC",-26.8546734333333,-52.2616987666667
"84","Flor do Sertão","SC",-26.7781183333333,-53.3500126
"85","Florianópolis","SC",-27.590621087069,-48.5426697724138
"86","Formosa do Sul","SC",-26.6522247,-52.7980901
"87","Forquilhinha","SC",-28.7480422857143,-49.4734973285714
"88","Fraiburgo","SC",-27.025867,-50.9215568909091
"89","Frei Rogério","SC",-27.1742847333333,-50.8072990666667
"90","Galvão","SC",-26.4581183,-52.6840358666667
"91","Garopaba","SC",-28.0253429,-48.6175064285714
"92","Garuva","SC",-26.0340903857143,-48.8555589142857
"93","Gaspar","SC",-26.9273202230769,-48.9564562692308
"94","Governador Celso Ramos","SC",-27.3156547666667,-48.5643763333333
"95","Gravatal","SC",-28.3317748,-49.0351442666667
"96","Grão Pará","SC",-28.18702982,-49.21307306
"97","Guabiruba","SC",-27.0866941,-48.9856818
"98","Guaraciaba","SC",-26.6004276333333,-53.5176784333333
"99","Guaramirim","SC",-26.4736604,-49.0018281090909
"100","Guarujá do Sul","SC",-26.3837256,-53.5239113333333
"101","Guatambú","SC",-27.1341139666667,-52.7864652333333
"102","Herval d'Oeste","SC",-27.1850133142857,-51.4931196857143
"103","Ibiam","SC",-27.1837915,-51.2390612
"104","Ibicaré","SC",-27.08941665,-51.36766835
"105","Ibirama","SC",-27.0525264090909,-49.5366958636364
"106","Ilhota","SC",-26.8858659333333,-48.8275693
"107","Imaruí","SC",-28.34501855,-48.8162854875
"108","Imbituba","SC",-28.2396858615385,-48.6749189615385
"109","Imbuia","SC",-27.4954481666667,-49.4161241
"110","Indaial","SC",-26.89509751875,-49.23511405
"111","Iomerê","SC",-27.00219355,-51.24202345
"112","Ipira","SC",-27.4037772666667,-51.7803004333333
"113","Iporã do Oeste","SC",-26.9879158,-53.5347723
"114","Ipuaçu","SC",-26.6345085333333,-52.453852
"115","Ipumirim","SC",-27.0762283833333,-52.1356048833333
"116","Iraceminha","SC",-26.8232204,-53.2724009
"117","Irani","SC",-27.024591925,-51.89005065
"118","Irati","SC",-26.6570994666667,-52.8954143333333
"119","Irineópolis","SC",-26.23972835,-50.8006772
"120","Itaiópolis","SC",-26.35716487,-49.90074064
"121","Itajaí","SC",-26.9120781805556,-48.6653209555556
"122","Itapema","SC",-27.0948437363636,-48.6118795363636
"123","Itapiranga","SC",-27.172031275,-53.711131025
"124","Itapoá","SC",-26.10597185,-48.61422245
"125","Ituporanga","SC",-27.4221929090909,-49.6012911636364
"126","Itá","SC",-27.2774469,-52.3270238
"127","Içara","SC",-28.7146970818182,-49.3018861454545
"128","Jaborá","SC",-27.1724241,-51.7361671333333
"129","Jacinto Machado","SC",-28.9996388,-49.7633365333333
"130","Jaguaruna","SC",-28.61685265,-49.0252604666667
"131","Jaraguá do Sul","SC",-26.492323775,-49.094119325
"132","Jardinópolis","SC",-26.7215562333333,-52.8604034333333
"133","Joaçaba","SC",-27.17524554,-51.505823065
"134","Joinville","SC",-26.3005249870968,-48.8427028
"135","José Boiteux","SC",-26.9607285,-49.6269392
"136","Jupiá","SC",-26.3978303666667,-52.7284381
"137","Lacerdópolis","SC",-27.2621074333333,-51.5579552
"138","Lages","SC",-27.8102724780488,-50.3216648073171
"139","Laguna","SC",-28.4888399266667,-48.786048
"140","Lajeado Grande","SC",-26.8586044333333,-52.5657379333333
"141","Laurentino","SC",-27.2222503333333,-49.7356836
"142","Lauro Muller","SC",-28.3947452833333,-49.3955512
"143","Lebon Régis","SC",-26.931393625,-50.6975661875
"144","Leoberto Leal","SC",-27.5073708,-49.2874173666667
"145","Lindóia do Sul","SC",-27.0525845666667,-52.0823837
"146","Lontras","SC",-27.161854775,-49.553132375
"147","Luiz Alves","SC",-26.7110482,-48.9131822
"148","Luzerna","SC",-27.1332106,-51.4674055
"149","Macieira","SC",-26.8564972,-51.3763427
"150","Mafra","SC",-26.1150912125,-49.80647583125
"151","Major Gercino","SC",-27.4191718,-48.9540133
"152","Major Vieira","SC",-26.3587155,-50.3235405
"153","Maracajá","SC",-28.8473882666667,-49.4542355666667
"154","Maravilha","SC",-26.7605706,-53.174794
"155","Marema","SC",-26.8034866,-52.6262268333333
"156","Massaranduba","SC",-26.6118565333333,-49.0087693333333
"157","Matos Costa","SC",-26.473553,-51.1517645
"158","Meleiro","SC",-28.8398726625,-49.6264253375
