"","municipio","uf","lat","long"
"1","Amparo de São Francisco","SE",-10.1660225,-36.9346533
"2","Aquidabã","SE",-10.2827502,-37.0199471
"3","Aracaju","SE",-10.9187502958678,-37.0707297950413
"4","Arauá","SE",-11.2584006,-37.6151498
"5","Areia Branca","SE",-10.7633249,-37.3021858
"6","Barra dos Coqueiros","SE",-10.909999925,-37.029963125
"7","Boquim","SE",-11.1444609,-37.6160657
"8","Brejo Grande","SE",-10.7055086,-36.8534139333333
"9","Campo do Brito","SE",-10.7306635,-37.4947813
"10","Canhoba","SE",-10.1372839,-36.9855731666667
"11","Canindé de São Francisco","SE",-9.6422163,-37.7884743
"12","Capela","SE",-10.5105296,-37.0549586
"13","Carira","SE",-10.3555949,-37.6914624
"14","Carmópolis","SE",-10.6494819714286,-36.9954433714286
"15","Cedro de São João","SE",-10.2511841,-36.882875
"16","Cristinápolis","SE",-11.4645547,-37.7461481
"17","Cumbe","SE",-10.3482933333333,-37.1885139333333
"18","Divina Pastora","SE",-10.7036977,-37.1606816
"19","Estância","SE",-11.26789244,-37.43962148
"20","Feira Nova","SE",-10.2658097666667,-37.3119349333333
"21","Frei Paulo","SE",-10.5474114125,-37.53977245
"22","Gararu","SE",-9.96829905714286,-37.0898998142857
"23","General Maynard","SE",-10.6907328,-36.9840482
"24","Gracho Cardoso","SE",-10.2282366,-37.2024604
"25","Ilha das Flores","SE",-10.4337836,-36.5403625
"26","Indiaroba","SE",-11.5194013,-37.5131173
"27","Itabaiana","SE",-10.68840909,-37.426152335
"28","Itabaianinha","SE",-11.2743415,-37.7888932
"29","Itabi","SE",-10.119592,-37.1050935
"30","Itaporanga d'Ajuda","SE",-11.0126944,-37.3090551
"31","Japaratuba","SE",-10.5952802,-36.9398708
"32","Japoatã","SE",-10.3385168,-36.8017464
"33","Lagarto","SE",-10.9148660333333,-37.66548968
"34","Laranjeiras","SE",-10.80579253,-37.16534757
"35","Macambira","SE",-10.664997,-37.5376985
"36","Malhada dos Bois","SE",-10.3481047,-36.9230894
"37","Malhador","SE",-10.6572272,-37.3035267
"38","Maruim","SE",-10.735113,-37.076454
"39","Moita Bonita","SE",-10.5717266,-37.3414469
"40","Monte Alegre de Sergipe","SE",-10.026364,-37.558636
"41","Muribeca","SE",-10.4274311,-36.9624058
"42","Neópolis","SE",-10.3210039,-36.5926728
"43","Nossa Senhora Aparecida","SE",-10.4501367,-37.4739718
"44","Nossa Senhora da Glória","SE",-10.2166633,-37.4242211
"45","Nossa Senhora das Dores","SE",-10.4852522,-37.2053057
"46","Nossa Senhora de Lourdes","SE",-10.2374306,-36.7398816666667
"47","Nossa Senhora do Socorro","SE",-10.8556929666667,-37.134342375
"48","Pacatuba","SE",-10.4513206,-36.6486083
"49","Pedra Mole","SE",-10.6091285,-37.6893636
"50","Pedrinhas","SE",-11.1892551,-37.6691992
"51","Pinhão","SE",-10.5680862,-37.7228448
"52","Pirambu","SE",-10.6782088,-36.8737474
"53","Porto da Folha","SE",-9.9094845,-37.2780067
"54","Poço Redondo","SE",-9.80027451111111,-37.6887985444444
"55","Poço Verde","SE",-10.7112886,-38.1849896
"56","Propriá","SE",-10.2274106333333,-36.840275
"57","Riachuelo","SE",-10.7384942428571,-37.1911057285714
"58","Riachão do Dantas","SE",-11.073104025,-37.730009075
"59","Ribeirópolis","SE",-10.5394434285714,-37.4205244285714
"60","Rosário do Catete","SE",-10.6910938333333,-37.0324218
"61","Salgado","SE",-11.031917575,-37.481994525
"62","Santa Luzia do Itanhy","SE",-11.3504297666667,-37.4501013333333
"63","Santa Rosa de Lima","SE",-10.6519714,-37.1980648
"64","Santana do São Francisco","SE",-10.30657125,-36.626571575
"65","Santo Amaro das Brotas","SE",-10.7824294666667,-37.0578814333333
"66","Simão Dias","SE",-10.7330353777778,-37.8139767555556
"67","Siriri","SE",-10.6083666,-37.1169130666667
"68","São Cristóvão","SE",-11.0082044066667,-37.21078726
"69","São Domingos","SE",-10.7915469666667,-37.5692119666667
"70","São Francisco","SE",-10.3368257,-36.8862261
"71","São Miguel do Aleixo","SE",-10.389169,-37.37981
"72","Telha","SE",-10.2010741,-36.8861840333333
"73","Tobias Barreto","SE",-11.1746106,-38.0115734
"74","Tomar do Geru","SE",-11.3710917333333,-37.8406005333333
"75","Umbaúba","SE",-11.376702575,-37.6543024625
