"","municipio","uf","lat","long"
"1","Adamantina","SP",-21.6875083307692,-51.0724653230769
"2","Adolfo","SP",-21.2354539333333,-49.6432237333333
"3","Aguaí","SP",-22.06643695,-46.9810186
"4","Agudos","SP",-22.4925364,-49.0195903818182
"5","Alambari","SP",-23.5512386,-47.9006421
"6","Alfredo Marcondes","SP",-21.9529122,-51.4139057666667
"7","Altair","SP",-20.5276711,-49.0725110333333
"8","Altinópolis","SP",-21.0238591,-47.3721598666667
"9","Alto Alegre","SP",-21.5848359,-50.1681190333333
"10","Alumínio","SP",-23.5333169333333,-47.2585007
"11","Alvinlândia","SP",-22.44342575,-49.76378875
"12","Americana","SP",-22.7426960137931,-47.3338620793103
"13","Amparo","SP",-22.70277663125,-46.76616394375
"14","Américo Brasiliense","SP",-21.7259292,-48.10298038
"15","Américo de Campos","SP",-20.2980481,-49.7358541
"16","Analândia","SP",-22.1266753,-47.6636707
"17","Andradina","SP",-20.89485165,-51.37832750625
"18","Angatuba","SP",-23.4883079,-48.4140405
"19","Anhembi","SP",-22.7886513,-48.1275161
"20","Anhumas","SP",-22.2965062,-51.3855976666667
"21","Aparecida","SP",-22.8412025307692,-45.2240938538462
"22","Aparecida d'Oeste","SP",-20.449603275,-50.883538775
"23","Apiaí","SP",-24.51228523,-48.84339095
"24","Aramina","SP",-20.0861404,-47.7884975
"25","Arandu","SP",-23.1363138,-49.0544042
"26","Arapeí","SP",-22.6732208,-44.4476768666667
"27","Araraquara","SP",-21.7895916693878,-48.174749444898
"28","Araras","SP",-22.3648050470588,-47.3764247823529
"29","Araçariguama","SP",-23.4380484666667,-47.0627959666667
"30","Araçatuba","SP",-21.2111393194444,-50.4318024805556
"31","Araçoiaba da Serra","SP",-23.5056928333333,-47.6157260666667
"32","Arco-Íris","SP",-21.7822995,-50.46788265
"33","Arealva","SP",-22.028268175,-48.909141875
"34","Areias","SP",-22.5805111,-44.697076
"35","Areiópolis","SP",-22.6692594,-48.6633144
"36","Ariranha","SP",-21.1875792,-48.7845613666667
"37","Artur Nogueira","SP",-22.57325268,-47.1718934
"38","Arujá","SP",-23.3951237875,-46.3231735875
"39","Aspásia","SP",-20.15229,-50.7272101
"40","Assis","SP",-22.6607638583333,-50.4096623833333
"41","Atibaia","SP",-23.1158484875,-46.5550628833333
"42","Auriflama","SP",-20.6882987444444,-50.5557378
"43","Avanhandava","SP",-21.45968615,-49.94937335
"44","Avaré","SP",-23.1028834045455,-48.9341041636364
"45","Avaí","SP",-22.1491527,-49.3227541
"46","Bady Bassitt","SP",-20.91916405,-49.447120775
"47","Balbinos","SP",-21.9045148,-49.3585616
"48","Bananal","SP",-22.6806765,-44.3236625
"49","Barbosa","SP",-21.269011,-49.9475485
"50","Bariri","SP",-22.07478269,-48.74100088
"51","Barra Bonita","SP",-22.49770894,-48.5527389
"52","Barra do Chapéu","SP",-24.4735242,-49.0160131
"53","Barra do Turvo","SP",-24.7579957,-48.5049247
"54","Barretos","SP",-20.5574990136364,-48.5761231772727
"55","Barrinha","SP",-21.192674,-48.16241945
"56","Barueri","SP",-23.5067991878788,-46.8708495484848
"57","Barão de Antonina","SP",-23.6290585666667,-49.5621826
"58","Bastos","SP",-21.920952925,-50.732875375
"59","Batatais","SP",-20.89106348125,-47.58562625625
"60","Bauru","SP",-22.3194817230769,-49.0678406673077
"61","Bebedouro","SP",-20.9453229611111,-48.4855632777778
"62","Bento de Abreu","SP",-21.2684186,-50.8110491
"63","Bernardino de Campos","SP",-23.0133976,-49.1398107666667
"64","Bertioga","SP",-23.85012765,-46.1384118666667
"65","Bilac","SP",-21.407415,-50.4724324
"66","Birigui","SP",-21.296612095,-50.338619965
"67","Biritiba-Mirim","SP",-23.5702678,-46.0411417
"68","Boa Esperança do Sul","SP",-21.9948628,-48.3915353
"69","Bocaina","SP",-22.1348277,-48.5166955333333
"70","Bofete","SP",-23.098212,-48.2588281
"71","Boituva","SP",-23.28416676,-47.67318434
"72","Bom Jesus dos Perdões","SP",-23.13498965,-46.464868775
"73","Bom Sucesso de Itararé","SP",-24.3189164,-49.1446205
