"","municipio","uf","lat","long"
"1","Abreulândia","TO",-9.6233092,-49.1506612
"2","Aguiarnópolis","TO",-6.5582507,-47.4668012
"3","Aliança do Tocantins","TO",-11.3048588,-48.9412722
"4","Almas","TO",-11.5666529,-47.1689862
"5","Alvorada","TO",-12.4775431,-49.1273953
"6","Ananás","TO",-6.79419131111111,-48.1624394222222
"7","Angico","TO",-6.3919544,-47.8670677
"8","Aparecida do Rio Negro","TO",-9.9518784,-47.9685441
"9","Aragominas","TO",-7.1619001,-48.5282636
"10","Araguacema","TO",-8.8086886,-49.5577878
"11","Araguanã","TO",-6.58052355,-48.64383605
"12","Araguatins","TO",-5.6561471,-48.1189157
"13","Araguaçu","TO",-12.930675,-49.8162694
"14","Araguaína","TO",-7.19179056470588,-48.2119661764706
"15","Arapoema","TO",-7.6544192,-49.0646494
"16","Arraias","TO",-12.9264218,-46.9351817
"17","Augustinópolis","TO",-5.4684942,-47.8895331
"18","Aurora do Tocantins","TO",-12.7101405,-46.4041968
"19","Axixá do Tocantins","TO",-5.6149591,-47.7708204
"20","Babaçulândia","TO",-7.1910789,-47.7847638
"21","Bandeirantes do Tocantins","TO",-7.7570832,-48.5845765
"22","Barra do Ouro","TO",-7.69205085,-47.6805993
"23","Barrolândia","TO",-9.8365458,-48.7188208
"24","Bernardo Sayão","TO",-7.8724155,-48.8911876
"25","Bom Jesus do Tocantins","TO",-8.9805271,-48.1540601
"26","Brasilândia do Tocantins","TO",-8.3891256,-48.4878926
"27","Brejinho de Nazaré","TO",-11.0001118,-48.5638524
"28","Buriti do Tocantins","TO",-5.317596875,-48.2286827
"29","Cachoeirinha","TO",-6.1190829,-47.9183118
"30","Campos Lindos","TO",-7.999722,-46.881111
"31","Cariri do Tocantins","TO",-11.2067606,-49.05048912
"32","Carmolândia","TO",-7.0333125,-48.3961586
"33","Carrasco Bonito","TO",-5.3554547,-48.04742835
"34","Caseara","TO",-9.2708065,-49.9464978
"35","Centenário","TO",-8.965833,-47.338889
"36","Chapada da Natividade","TO",-11.6176751,-47.751865
"37","Chapada de Areia","TO",-10.1397798,-49.1447889
"38","Colinas do Tocantins","TO",-8.05619116,-48.4814678533333
